施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
アイン薬局福山御幸店,342076,広島県,福山市,34.547123,133.348785,084-949-3378,084-949-3385,720-0001,福山市御幸町上岩成464-8,8:30~18:00,有,084-949-3378,
ププレひまわり薬局御幸店,342076,広島県,福山市,34.540966,133.34816,084-983-1810,084-983-1820,720-0002,福山市御幸町下岩成338番地,月・火・木・金 9:00~19:00水 9:00~18:00土 9:00~14:00,有,090-9102-1190,
にこぴん薬局千田町店,342076,広島県,福山市,34.520317,133.383545,084-961-0251,084-961-0252,720-0017,福山市千田町2-47-5,月・水・金8:15-17:30 火・木8:15-17:15       土8:15-12:30,有,080-8989-3522,
にこぴん薬局三吉町店,342076,広島県,福山市,34.492664,133.375732,084-973-7551,084-973-7552,720-0031,福山市三吉町3-3-22,平日8:45-18:00  水8:45-16:45 土8:45-13:00 日祝休み,有,080-8989-3523,
ウォンツ福山御船薬局,342076,広島県,福山市,34.488541,133.369232,084-973-6220,084-973-6221,720-0042,福山市御船町1-9-3,9:00~18:30日・祝休み,無,,
サン・メディカル薬局大黒店,342076,広島県,福山市,34.490528,133.366852,084-923-2325,084-923-2343,720-0053,福山市大黒町1-1,月~土9:00-18:00  日祝 休み,無,,
すずらん薬局,342076,広島県,福山市,34.491238,133.367996,084-921-0260,084-921-0273,720-0053,福山市大黒町2-32,平日9:00-18:00 土9:00-13:00 日祝休み,無,,
さくらんぼ薬局東桜町店,342076,広島県,福山市,34.487675,133.362579,084-991-0017,084-991-0018,720-0065,福山市東桜町1-43 備広福山駅前ビル1階,月・火・木・金9:00~18:30 土9:00~16:00,無,,
サン・メディカル薬局東桜町店,342076,広島県,福山市,34.48576,133.359055,084-973-3551,084-973-3552,720-0065,福山市東桜町11-10,平日9:00-18:00  土9:00-13:00  日祝休み,無,,
にこぴん薬局北吉津店,342076,広島県,福山市,34.497524,133.363617,084-924-0251,084-924-0256,720-0073,福山市北吉津町3丁目11-19,平日9:00-18:00 土9:00-13:00 日祝 休み,有,080-2930-2402,
ファ-マシィ薬局南本庄,342076,広島県,福山市,34.484825,133.353714,084-973-3738,084-973-3738,720-0077,福山市南本庄3-2-16,日曜平日9:00-18:30 土祝日休み,有,084-973-3738,
くるみ薬局,342076,広島県,福山市,34.498253,133.35437,084-931-4066,084-931-4074,720-0082,福山市木之庄町2-7-1,月・火・木 9:00~18:30水・金 9:00~17:00土 9:00~12:00,有,084-931-4066,
木之庄薬局,342076,広島県,福山市,34.4981,133.354324,084-925-3125,084-925-3129,720-0082,福山市木之庄町2-7-3,月火水金9:00-19:00  木8:00-16:00  土9:00-17:00,無,,
にこぴん薬局ばら公園店,342076,広島県,福山市,34.483646,133.373749,084-999-7251,084-999-7252,720-0802,福山市松浜町1-10-10,月火水金9:00-18:00 木9:00-17:00 土9:00-12:30 日祝休み,有,080-8989-3516,
そうごう薬局福山店,342076,広島県,福山市,34.480671,133.367752,084-922-9741,084-922-8580,720-0805,福山市御門町1丁目3-31,月火水金9:00-18:00  木土9:00-17:00  日祝 休み,有,084-922-9741,
そうごう薬局御門店,342076,広島県,福山市,34.478848,133.371323,084-973-1911,084-973-1912,720-0805,福山市御門町3-2-6,月火金:8:30-18:00 水:8:30-16:30 木8:30-18:30 土8:30-17:00 日祝:休み,有,084-973-1911,
ファ-マシィ薬局クレ-ル,342076,広島県,福山市,34.478035,133.370529,084-931-3368,084-931-3378,720-0805,福山市御門町3-3-9,平日9:00-19:00  土9:00-19:00 日祝休み,有,084-931-3368,
宮野薬局,342076,広島県,福山市,34.48357,133.370316,084-932-2112,084-932-2132,720-0806,福山市南町2-12,9:30~22:30,無,,
ファ-マシィ薬局すみよし,342076,広島県,福山市,34.485474,133.370514,084-920-1264,084-920-1264,720-0809,福山市住吉町6-11,平日9:00-18:30 土9:00-13:00 日祝休み,有,084-920-1264,
葦陽紅葉町薬局,342076,広島県,福山市,34.484768,133.360504,084-926-4512,084-926-4512,720-0811,福山市紅葉町3-23,月・火・木~土9:00~18:05水9:00~13:00日・祝日休み,無,,
葦陽ロ-ズ薬局,342076,広島県,福山市,34.484329,133.363434,084-932-0044,084-932-0044,720-0812,福山市霞町2丁目2-2,月火水金土9:00-18:00 木9:00-12:30   日祝 休,有,090-3743-0761,
サン・メディカル薬局道三店,342076,広島県,福山市,34.481926,133.363358,084-928-3021,084-928-0432,720-0813,福山市道三町5-15,月火水金9:00-18:00 木土9:00-13:00 日祝休み,無,,
いちご薬局,342076,広島県,福山市,34.481384,133.366562,084-999-5454,084-999-5456,720-0814,福山市光南町1-5-4,平日、土8:30-18:00. 日祝:休,無,,
葦陽ミナミ薬局,342076,広島県,福山市,34.478531,133.36676,084-925-0646,084-925-0646,720-0814,福山市光南町2-4-4,月~水・金9:00~18:05木・土9:00~13:05日・祝休み,無,,
ウォンツ福山野上薬局,342076,広島県,福山市,34.474957,133.367203,084-991-1315,084-991-1316,720-0815,福山市野上町3丁目6-5,月~金:9:00~13:00    14:30~17:45,無,,
エスマイル薬局野上店,342076,広島県,福山市,34.479633,133.363861,084-959-4210,084-959-4211,720-0815,福山市野上町1丁目5-28,月9:00~23:00/火9:00~18:00/水9:00~21:00/木9:00~18:00/金9:00~23:00/土9:00~18:00,無,,
ふれあいロ-ズ薬局,342076,広島県,福山市,34.478394,133.365738,084-973-9880,084-973-9881,720-0815,福山市野上町2-6-8,月9:00~18:30/火9:00~18:30/水9:00~18:30/木9:00~18:30/金9:00~18:30/土9:00~16:00,有,084-973-9880,
一般社団法人福山市薬剤師会野上薬局,342076,広島県,福山市,34.477139,133.363678,084-924-6625,084-924-6641,720-0815,福山市野上町3-12-1,月~金9:00~17:00,有,080-1640-1278,
サン・メディカル薬局川口店,342076,広島県,福山市,34.472275,133.387909,084-920-2131,084-920-2132,720-0822,福山市川口町1丁目8番1-105,月~金 AM 9:00~PM 6:30  土 AM 9:00~PM 1:00      土曜日午後・日曜日・祝日・お盆・年末年始休み,有,090-4145-6828,
クル-ズ薬局多治米店,342076,広島県,福山市,34.467621,133.371368,084-981-3511,084-981-3512,720-0824,福山市多治米町5-23-29,月火水金8:30-18:30、木8:30-18:00、土8:30-13:00      日祝は休み,無,,
在宅支援ザグザグ薬局多治米店,342076,広島県,福山市,34.468216,133.370575,084-920-3142,084-920-3142,720-0824,福山市多治米町5丁目23-39,9:30-18:30  日祝休み,有,090-9839-5261,
