施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
アイム薬局,352080,山口県,岩国市,34.171776,132.230927,0827-21-0088,0827-21-0187,740-0012,岩国市元町4-1-15 ,月・水・木・金9:00~18:00火9:00~17:00土9:00~12:15,有,080-3885-5943,
元町薬局,352080,山口県,岩国市,34.171329,132.2276,0827-22-0022,0827-22-0033,740-0012,岩国市元町2-1-17,月~金8:00~18:00土8:00~12:00,有,09073729077,
あい薬局 今津店,352080,山口県,岩国市,34.167809,132.220245,0827-28-6730,0827-28-6729,740-0017,岩国市今津町1-9-25 ,月・火・木・金9:00~18:00水・土9:00~12:30,有,0827-28-6730,
(有)渡辺薬局,352080,山口県,岩国市,34.165073,132.217178,0827-21-5188,0827-21-5180,740-0017,岩国市今津町4-3-2,月~金9:00~19:00土9:00~18:00,有,090-7130-2461,
エスマイル薬局岩国店,352080,山口県,岩国市,34.166363,132.219635,0827-23-0799,0827-23-0799,740-0017,岩国市今津町1-15-27,月・火・水・金9:00~18:00木・土9:00~12:30,有,080-8247-9726,
コスモス薬局,352080,山口県,岩国市,34.172028,132.223236,0827-22-2940,0827-22-2944,740-0018,岩国市麻里布町3-1-27,月~水・金9:00~18:30木9:00~17:00、土9:00~15:00,有,0827222940,
すずらん薬局,352080,山口県,岩国市,34.170403,132.222122,0827-22-1193,0827-23-1193,740-0018,岩国市麻里布町3-5-30 ,月~金9:00~18:00土9:00~13:00,無,090-3372-1193,
いちご薬局 室の木店,352080,山口県,岩国市,34.168804,132.201904,0827-21-1515,0827-21-1526,740-0021,岩国市室の木町5-10-13,月・水・木・金9:00~18:30火9:00~17:00土9:00~13:00,有,090-6849-6020,
岩国薬剤師会会営薬局,352080,山口県,岩国市,34.170826,132.206406,0827-23-3422,0827-23-7978,740-0021,岩国市室の木町3-6-13,月~土9:00~18:00、19:00~22:00日・祝9:00~22:00,有,0827-23-3422,
ア-チ薬局,352080,山口県,岩国市,34.164856,132.213211,0827-23-6737,0827-23-7164,740-0022,岩国市山手町2-18-10,月~水・金9:00~18:00木・土9:00~13:00,無,,
山手ハ-ト薬局,352080,山口県,岩国市,34.168743,132.217346,0827-29-1193,0827-29-1193,740-0022,岩国市山手町1-11-24,月~水・金9:00~18:00木・土9:00~12:30,無,,
ウォンツ岩国中津薬局,352080,山口県,岩国市,34.154106,132.215637,0827-30-7577,0827-30-7578,740-0027,岩国市中津町2-4-33,月~金9:00~18:00,無,,
そうごう薬局 中津町店,352080,山口県,岩国市,34.153137,132.215271,0827-21-0281,0827-21-0282,740-0027,岩国市中津町1-19-17中津・サンフラワ-103,月~金・木(第4)8:30~18:00木・(第1・2・3・5)土8:30~12:30,有,0827-21-0281,
(株)成和薬局 尾津支店,352080,山口県,岩国市,34.138706,132.207733,0827-32-4797,0827-31-4489,740-0032,岩国市尾津町2-18-5,月・火・水・金9:00~18:00木9:00~17:00土9:00~13:00,有,0827-32-4797,
成和薬局高水前店,352080,山口県,岩国市,34.137779,132.20752,0827-32-1147,0827-32-1125,740-0032,岩国市尾津町2-23-13,月・火・水・金9:00~18:00木8:00~16:00土9:00~13:00,有,0827321147,
あおぞら薬局 南岩国店,352080,山口県,岩国市,34.134613,132.204483,0827-28-5002,0827-28-5009,740-0034,岩国市南岩国町1-14-23 ,月・火・水・金9:00~17:30木・土9:00~12:00,無,,
いちご薬局,352080,山口県,岩国市,34.138191,132.192627,0827-34-1110,0827-32-6776,740-0034,岩国市南岩国町2-77-22,月~金9:00~18:30土8:30~17:30,有,090-6849-2933,
センタ-薬局,352080,山口県,岩国市,34.143982,132.203644,0827-35-5000,0827-35-5100,740-0037,岩国市愛宕町1-1-3,24時間開局,無,,
かわち薬局,353213,山口県,玖珂郡和木町,34.205811,132.222565,0827-52-6288,0827-52-0387,740-0061,玖珂郡和木町和木2-8-19,月~水・金8:30~18:00木8:30~16:30土8:30~12:30,有,0827-52-6288,
ワキ薬局,353213,山口県,玖珂郡和木町,34.204056,132.225174,0827-53-3392,0827-53-6352,740-0061,玖珂郡和木町和木3-1-8,月~水・金9:00~18:00木9:00~17:00土9:00~13:00,有,転送,
みわ薬局,352080,山口県,岩国市,34.1665,132.218948,0827-95-0055,0827-95-0056,740-1224,岩国市佐坂371-4,月~水・金8:30~18:00木7:00~15:00土8:30~12:00,有,0827-95-0055,
