施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
キリン堂薬局田宮店,362018,徳島県,徳島市,34.08667,134.546082,088-634-2272,088-634-2273,770-0003,徳島市北田宮1-3-5,月~金9:00~18:00 土9:00~12:00,有,080-9692-1890,
トマト調剤薬局田宮店,362018,徳島県,徳島市,34.088825,134.531677,088-679-8200,088-679-8201,770-0003,徳島市北田宮4-894-1,月~金9:00~18:30土9:00~18:00,無,,
ココロ調剤薬局 田宮店,362018,徳島県,徳島市,34.086349,134.531281,088-624-7307,088-624-7308,770-0004,徳島市南田宮4丁目3番9号,"月~金9:00~18:00,土9:00~13:00",有,070-5354-0787,
そうごう薬局 矢三店,362018,徳島県,徳島市,34.088249,134.519608,088-634-1531,088-631-1592,770-0006,徳島市北矢三町3丁目3-27グランドハイツ矢三1F,"月火木金9:00~18:00,水9:00~17:00,土9:00~13:00  ",有,088-634-1531,
井上調剤薬局 城北店,362018,徳島県,徳島市,34.088745,134.520279,088-637-0641,088-637-0640,770-0006,徳島市北矢三町3丁目3-40,"月-水・金9:00-18:30,木8:00-16:00,土9:00-17:30",有,088-637-0641,
トマト薬局 佐古店,362018,徳島県,徳島市,34.081051,134.540771,088-632-7321,088-632-7322,770-0011,徳島市北佐古一番町2番4号,"月-木9:00-19:00,金7:30-19:00,土7:30-18:30,祝11:00-19:00",有,088-632-7321,
ファルコはやぶさ薬局 佐古店,362018,徳島県,徳島市,34.079777,134.54039,088-678-8911,088-678-8912,770-0021,徳島市佐古1番町18番地31号,"月~金9:00~18:00,土9:00~12:00",有,088-678-8911,
スマイル調剤薬局 東佐古店,362018,徳島県,徳島市,34.077465,134.539261,088-678-2600,088-678-2601,770-0022,徳島市佐古二番町5-21,"月・火・木・金9:00-18:00,水9:00-17:00,土9:00-17:30",有,080-4334-7607,
すみれ調剤薬局なのは店,362018,徳島県,徳島市,34.076591,134.537033,088-678-8978,088-678-8977,770-0022,徳島市佐古二番町2-13,月・火・金9:00~19:00 水・木・土9:00~18:00,無,,
佐古二番町調剤薬局,362018,徳島県,徳島市,34.077095,134.538422,088-678-4412,088-678-4413,770-0022,徳島市佐古二番町5-11,月-金9:00-17:30,有,088-678-4412,
レデイ薬局佐古店,362018,徳島県,徳島市,34.080574,134.537323,088-602-0177,088-602-0178,770-0023,徳島市佐古三番町15-22,"月~金10:00~13:00 , 14:00~19:00",無,,
ぐんも調剤薬局 佐古東店,362018,徳島県,徳島市,34.077816,134.532318,088-657-5139,088-657-5139,770-0024,徳島市佐古四番町3-18ロ-タスワゼル1階,"月-金9:00-18:00,土9:00-13:00",有,080-6284-5352,
スマイル調剤薬局健康館,362018,徳島県,徳島市,34.078346,134.532669,088-678-9981,088-678-9980,770-0024,徳島市佐古四番町6-19,月・火・木・金9:00~18:30 水・土9:00~17:00,有,070-5512-8316,
三谷調剤薬局佐古店,362018,徳島県,徳島市,34.079304,134.532288,088-611-3435,088-611-3436,770-0024,徳島市佐古四番町10-9,月~金9:00~18:00土8:45~17:45,有,088-611-3435,
スマイル調剤薬局 佐古店,362018,徳島県,徳島市,34.078323,134.529068,088-657-4822,088-657-4823,770-0026,徳島市佐古六番町7番4号,"月・火・水・金9:00-18:00,木9:00-17:00,土9:00-13:00",有,088-657-4822,
オブリ-ジュ調剤薬局 佐古店,362018,徳島県,徳島市,34.077011,134.52211,088-677-9625,088-677-9626,770-0028,徳島市佐古八番町4-15 かがやきビル102,"月~金 9:00~18:30,土9:00~17:00",有,088-677-9625(転送),
ぐんも調剤薬局 県中店,362018,徳島県,徳島市,34.076706,134.521118,088-657-3132,088-657-3265,770-0028,徳島市佐古八番町3-13,月-金8:30-17:30,有,080-6284-5382,
三愛薬局蔵本支店,362018,徳島県,徳島市,34.076485,134.520981,088-679-7781,088-679-7782,770-0028,佐古8番町2-21-1,月~金8:30~17:30土8:30~12:30,有,080-2983-6315,
日本調剤 佐古薬局,362018,徳島県,徳島市,34.076092,134.521057,088-679-6978,088-679-6979,770-0028,徳島市佐古八番町2-18-1,"月-金8:30~17:30,土8:30~12:30",有,080-1005-1146,
アップル調剤薬局 蔵本駅前店,362018,徳島県,徳島市,34.078632,134.518326,088-679-4760,088-679-4761,770-0042,徳島市蔵本町2丁目27番地27番,"月-水,金,土9:00-18:00",有,080-2991-0131,
アップル調剤薬局 徳大店,362018,徳島県,徳島市,34.077778,134.518494,088-634-1327,088-634-1328,770-0042,徳島市蔵本町2丁目20-1,"月-金9:00-18:00,土9:00-13:00",有,090-5710-5803,
ありす調剤薬局,362018,徳島県,徳島市,34.077671,134.51799,088-634-1191,088-634-1192,770-0042,徳島市蔵本町2-30-1,月~水・金9:30~18:30 木・土9:30~18:00,有,080-3924-1191,
ありす調剤薬局蔵本1丁目店,362018,徳島県,徳島市,34.077995,134.519867,088-634-1119,088-634-1118,770-0042,徳島市蔵本町1-5-1,月~金9:00~18:00 土9:00~17:00,有,090-1991-1119,
ファルコ薬局 蔵本店,362018,徳島県,徳島市,34.077778,134.518494,088-634-2011,088-634-2012,770-0042,徳島市蔵本町2-22-4,月-金8:45-17:45,有,088-634-2011,
一般財団法人厚仁会薬局,362018,徳島県,徳島市,34.076534,134.516708,088-633-0777,088-633-6945,770-0042,徳島市蔵本町3-18-15,月~金8:30~18:30,有,090-9557-2166,
隆成堂調剤薬局,362018,徳島県,徳島市,34.077778,134.518494,088-633-5162,088-633-5583,770-0042,徳島市蔵本町2丁目20番地,"月~金9:00~18:00,土9:00~13:00",有,088-633-5162(転送),
アップル調剤薬局 庄町店,362018,徳島県,徳島市,34.076443,134.513733,088-678-6425,088-678-6426,770-0044,徳島市庄町1丁目1-4,"月火水金土9:00~18:00,木9:00~17:00",有,080-1997-6416,
レデイ薬局庄町店,362018,徳島県,徳島市,34.07198,134.50621,088-634-1170,088-634-1171,770-0044,徳島市庄町5-6-1,月~金10:00~13:00、14:00~19:00,無,,
鈴鈴薬局,362018,徳島県,徳島市,34.073002,134.509048,088-632-5483,088-631-8795,770-0044,徳島市庄町4-5-3,月-土9:00-19:00,有,088-632-5483 転送,
スマイル調剤薬局 鮎喰店,362018,徳島県,徳島市,34.072037,134.502258,088-634-3450,088-631-5308,770-0046,徳島市鮎喰町二丁目44番地3,月~土8:30~19:00,有,088-634-3450,
トマト調剤薬局 名東店,362018,徳島県,徳島市,34.066162,134.502945,088-634-3165,088-634-3166,770-0047,徳島市名東町1-115-4,"月・火・水・金9:00-18:30,木・土9:00-17:00",有,090-5276-4121,
ハ-ト調剤薬局 名東店,362018,徳島県,徳島市,34.062897,134.492783,088-637-0508,088-637-0515,770-0047,徳島市名東町2丁目661-4,月火水金9:00-18:30 木9:00-17:00 土9:00-18:00,有,088-637-0508,
薬局エコファ-マシ-,362018,徳島県,徳島市,34.059158,134.493927,088-634-1815,088-634-1816,770-0047,徳島市名東町三丁目410-7,"月,火,水,金8:45-18:30,木8:45-16:45,土8:45-17:30",有,088-634-1815,
アップル調剤薬局 島田店,362018,徳島県,徳島市,34.083553,134.518326,088-678-6831,088-678-6832,770-0051,徳島市北島田町1丁目54-1,"月-金9:00-19:00,土9:00-18:00",有,080-8037-7340,
ひかり漢方薬局,362018,徳島県,徳島市,34.087475,134.515717,088-679-7771,088-679-7772,770-0051,徳島市北島田町1丁目145 ,月~土9:00~18:30,無,070-5355-5846,
アイン薬局 中島田店,362018,徳島県,徳島市,34.084003,134.511703,088-634-3838,088-634-3839,770-0052,徳島市中島田町3-50,"月-金9:00-18:30,土9:00-17:30",有,088-634-3838,
ひかり薬局 中島田店,362018,徳島県,徳島市,34.084412,134.510498,088-678-6350,088-678-6360,770-0052,徳島市中島田町3丁目60-1,"月-金9:00-18:45,土9:00-18:00",有,070-5355-6757,
門田薬局 中島田店,362018,徳島県,徳島市,34.081577,134.508118,088-624-8400,088-624-8401,770-0052,徳島市中島田町4丁目1番地3,"月火木金8:30-17:30,土9:00-13:00",無,080-5625-7863,
ありす調剤薬局 南島田店,362018,徳島県,徳島市,34.080994,134.512909,088-632-1115,088-632-1116,770-0053,徳島市南島田町2丁目97番7,"月-水,金9:00-18:00,木9:00-13:00,土9:00-17:00",有,088-632-1115,
ひかり薬局 南島田店,362018,徳島県,徳島市,34.079494,134.503799,088-678-5801,088-678-5801,770-0053,徳島市南島田町4丁目54-1,"月,火,水9:00-18:30,木10:30-18:30,土9:00-13:00",有,070-5514-1653,
三谷薬局 渭北店,362018,徳島県,徳島市,34.079494,134.551239,088-622-1570,088-622-1870,770-0802,徳島市吉野本町1-13,月~土9:00~19:00,有,088-622-1570,
そよかぜ薬局,362018,徳島県,徳島市,34.083469,134.54953,088-655-1574,088-655-1634,770-0805,徳島市下助任町4丁目57-2,"月-金9:00-18:00,土9:00-17:30",有,088-655-1574,
エンゼル調剤薬局 前川店,362018,徳島県,徳島市,34.079323,134.549896,088-624-9281,088-624-9282,770-0808,徳島市南前川町4丁目46-1,"月火木金9:00-18:30,水9:00-17:00,土9:00-13:00",有,088-624-9281,
加地薬局 東吉野店,362018,徳島県,徳島市,34.08712,134.564178,088-679-7318,088-679-7317,770-0811,徳島市東吉野町,"月火水金土9:00-18:00,木9:00-17:00",有,088-679-7318,
おとなこども薬局,362018,徳島県,徳島市,34.081184,134.562744,088-678-6201,088-678-6202,770-0812,徳島市北常三島町2-37,8:30~17:30,有,088-678-6201,
ぐんも調剤薬局 市民病院前店,362018,徳島県,徳島市,34.081184,134.562744,088-622-8350,088-622-8350,770-0812,徳島市北常三島町2丁目37,月~金8:00~17:00,無,080-6284-5351,
加地薬局 市民病院前店,362018,徳島県,徳島市,34.080933,134.560974,088-676-3660,088-676-3661,770-0812,徳島市北常三島町1丁目10,"月-金8:30-17:30,土9:30-12:00",有,088-676-3660,
常三島調剤薬局,362018,徳島県,徳島市,34.080933,134.560974,088-657-3955,088-657-3956,770-0812,徳島市北常三島町1-10-17,月~土9:00~18:00,有,080-3921-8566,
北常三島調剤薬局,362018,徳島県,徳島市,34.082062,134.562668,088-655-0666,088-655-0686,770-0812,徳島市北常三島町二丁目48番地1,"月~金8:30~18:00,土9:00~18:00",有,080-3927-8397,
アイラ薬局,362018,徳島県,徳島市,34.081226,134.560059,088-676-3372,088-676-3382,770-0815,徳島市助任橋4丁目13番地3,月-土9:00-18:00,有,088-676-3372,
エンゼル調剤薬局 徳島駅前店,362018,徳島県,徳島市,34.074863,134.549835,088-611-6665,088-611-6667,770-0831,徳島市寺島本町西1-38,水除く月~土9:00~18:30  水9:00~17:00,有,088-611-6665,
徳島中央調剤薬局,362018,徳島県,徳島市,34.072826,134.552429,088-626-1722,088-626-1727,770-0832,徳島市寺島本町東2丁目15番地1F,月9:00~18:00/火9:00~18:00/水9:00~18:00/木9:00~18:00/金9:00~18:00/土9:00~18:00/日9:00~18:00/備考:なし,有,070-6560-7674,
