施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
ウイング薬局,382019,愛媛県,松山市,33.838116,132.787735,089-968-2035,089-968-2036,790-0905,松山市樽味四丁目3-14,月8:00~16:00火~土8:00~18:00,有,089-968-2035,
チェリ-薬局土橋店,382051,愛媛県,新居浜市,33.935123,133.292557,0897-31-6530,0897-31-6531,792-0043,新居浜市土橋1-8-20,月-金:9:00-18:00土:9:00-12:30,有,090-6266-6663,
あおぞら調剤薬局,382027,愛媛県,今治市,34.065598,132.994308,0898-35-3510,0898-35-3511,794-0028,今治市北宝来町2丁目3番地6,月~金9:00~18:00土9:00~13:00,有,0898-35-3510,
いわまつ薬局,382035,愛媛県,宇和島市,33.122498,132.51973,0895-32-1002,0895-32-1003,798-3302,宇和島市津島町高田丙542,月火木金:8:30-17:30.水:8:00-16:00土:8:30-12:30,有,0895-32-1002,
健生薬局一番町店,382019,愛媛県,松山市,33.841076,132.771606,089-943-1181,089-943-1182,790-0001,松山市一番町2-5-30 一番町SAORIビル2階,月・火・水・金9:00~18:30木9:00~17:00土9:00~14:00,有,090-2898-5837,
ハッピ-薬局三番町店,382019,愛媛県,松山市,33.837208,132.765198,089-968-1414,nan,790-0003,松山市三番町4-3-11,月~水・金9:00~18:00木・土9:00~13:00,有,089-968-1414転送,
健生薬局,382019,愛媛県,松山市,33.838001,132.763687,089-932-4408,089-932-3762,790-0003,松山市三番町5-9-11,月~金9:00~18:00土9:00~13:00,有,090-2898-5837,
かいてき調剤薬局新玉店,382019,愛媛県,松山市,33.8372,132.75415,089-993-7075,089-993-7076,790-0011,松山市千舟町8-67-16,月火水金8:00~18:00木8:00~17:00 土8:40~12:40,有,080-2971-8138,
きずな薬局,382019,愛媛県,松山市,33.836559,132.769348,089-998-6221,089-909-5770,790-0011,松山市千舟町3丁目1-4 チソクビル3階南,月9:00~18:00/火9:00~18:00/水9:00~17:00/木9:00~18:00/金9:00~18:00/土9:00~13:00,有,089-998-6221,
もより調剤薬局 銀天街店,382019,愛媛県,松山市,33.836105,132.767319,089-968-1588,089-968-1538,790-0012,松山市湊町4丁目8-12,月・火・木・金9:00~18:00水・土9:00~13:00,有,089-968-1588,
薬局ポイントタウン,382019,愛媛県,松山市,33.836201,132.761169,089-987-7745,089-987-7746,790-0012,松山市湊町6-2-4 重長ビル1F,月・火・水・金9:00~19:00木・土9:00~17:00日・祝休み,無,,
やなぎ堂薬局柳井町店,382019,愛媛県,松山市,33.834232,132.769165,089-943-3523,089-993-8234,790-0014,松山市柳井町1-14-1,月火水金9:00~18:45木9:00~17:00 土9:00~15:00,有,089-943-3523,
調剤薬局まごころ,382019,愛媛県,松山市,33.832325,132.764023,089-998-7555,089-998-7556,790-0023,松山市末広町9-2,月~金8:30~18:00,無,,
ハッピ-薬局 末広店,382019,愛媛県,松山市,33.831955,132.763428,089-933-8000,089-933-8001,790-0023,松山市末広町6-5 ハッピ-ハ-トビルディング2階,月~金 8:30~17:30土8:30~12:30,有,089-933-8000,
レデイ中央調剤薬局,382019,愛媛県,松山市,33.832832,132.764084,089-941-0222,089-913-7249,790-0023,松山市末広町10-2,月~金8:30~18:00土8:30~16:30,対応可,080-2977-6115,
ハッピ-薬局室町店,382019,愛媛県,松山市,33.831169,132.763779,089-968-2770,089-968-2771,790-0026,松山市室町73-1 ハッピ-ビルディング1階,月~金8:30~20:30土8:30~12:30,有,089-968-2770,
さくら薬局 中央店,382019,愛媛県,松山市,33.833126,132.756134,089-933-2245,089-933-2246,790-0032,松山市土橋町13-1,月~金9:00~18:00第1・3土9:00~13:00 不定休あり,有,089-941-2915,
江戸茂薬局本店,382019,愛媛県,松山市,33.834488,132.757202,089-941-2915,089-941-2916,790-0032,松山市土橋町18-1,9:00~18:00,有,090-1005-3565,
スマイル薬局,382019,愛媛県,松山市,33.822788,132.75795,089-987-8855,089-987-8856,790-0038,松山市和泉北 1丁目8-5,月火木金9:00~18:15水10:00~18:00 土9:00~16:45,有,090-3789-5360,
トマト薬局 保免店,382019,愛媛県,松山市,33.815479,132.748505,089-971-6200,089-971-6293,790-0042,松山市保免中3-8-24,月火水金土9:00~18:00木9:00~17:00,有,089-971-6200,
アルファ-マ薬局余戸店,382019,愛媛県,松山市,33.816566,132.736633,089-989-6770,089-989-6707,790-0044,松山市余戸東4丁目1番28-5号,月・火・木・金;9:00-18:30水・土;9:00-13:00,有,089-989-6770,
トマト薬局余戸西店,382019,愛媛県,松山市,33.818401,132.726013,089-989-6001,089-989-6002,790-0046,松山市余戸西6-10-46,月、水~金9:00~18:30 火9:00~17:00土、日9:00~13:00,有,089-989-6001,
ハッピ-薬局余戸西店,382019,愛媛県,松山市,33.813877,132.719437,089-972-8555,089-972-8556,790-0046,松山市余戸西3丁目10-20,月・火・木・金8:30~18:00 水8:30~16:30土8:30~13:00 日祝閉局,有,089-972-8555,
みらい薬局余戸西店,382019,愛媛県,松山市,33.815498,132.720871,089-974-5581,089-974-5582,790-0046,松山市余戸西3-12-17,月・火・水・金8:30~18:30木・土8:30~12:30,有,089-974-5581,
おひさま薬局,382019,愛媛県,松山市,33.831802,132.753174,089-909-7700,089-909-7701,790-0053,松山市竹原2-1-50 エバ-グリ-ン松山1号館1階,月・火・水・金9:00~18:15木9:00~17:00土9:00~17:15,無,,
かいてき調剤薬局 空港通店,382019,愛媛県,松山市,33.828556,132.740982,089-989-7183,089-989-7184,790-0054,松山市空港通2丁目13-8,月、火、木、金9:00~18:30水9:00~18:00 土9:00~13:00,有,089-989-7183,
テイクどいだ薬局,382019,愛媛県,松山市,33.823277,132.74649,089-989-7902,089-989-7903,790-0056,松山市土居田町310番地7,月・火・木・金 9:00~18:00水9:00~17:00 土9:00~12:30,有,089-989-7902,
レデイ薬局 土居田店,382019,愛媛県,松山市,33.823277,132.74649,089-974-3766,089-974-3839,790-0056,松山市土居田町419番地1,月~金9:00~18:00土9:00~13:00,有,090-4332-3002,
愛らんど薬局宮田町店,382019,愛媛県,松山市,33.843868,132.753845,089-941-9990,089-941-9993,790-0066,松山市宮田町170佐伯ビルディングス1階,月火木金 9:00-18:15水 9:00-17:00 土 9:00-12:30,有,089-941-9990(薬剤師携帯へ転送),
