施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
ダイリン薬局,,,,33.579617,133.555206,088-846-7866,088-846-7868,780-0011,高知市薊野北町2-10-1,月~金 9:00~18:00 土 8:30~12:30 隔週8:30~17:30,有,090-3183-8550,郵便番号
エ-ル薬局日赤店,392014,高知県,高知市,33.573437,133.543777,088-802-3557,088-802-3210,780-0026,高知市秦南町1-5-40-7,月~金9:00~18:00土14:00~15:00,有(要相談),088-802-3557,
日本調剤 高知薬局,392014,高知県,高知市,33.573437,133.543777,088-873-6488,088-873-6489,780-0026,秦南町1-5-40-11,月~金9:00~18:00 土9:00~13:00,有,080-1135-1304,
あとむ薬局 みその店,392014,高知県,高知市,33.574139,133.533264,088-855-9114,0120-920-653,780-0034,高知市三園町234,月-金9:00-17:30 土9:00-12:30,有,088-855-9114,
しのはら薬局入明店,392014,高知県,高知市,33.565784,133.53183,088-820-7130,088-820-7132,780-0041,高知市入明町5-1,月~金9:00~18:00  土9:00~13:00,有,080-1999-6751,
アイン薬局 愛宕店,392014,高知県,高知市,33.565468,133.536957,088-802-3399,088-802-3398,780-0051,高知市愛宕町1-1-14,月-金8:45-18:00 土8:45-13:00,有,088-802-3399,
あとむ薬局,392014,高知県,高知市,33.568481,133.536499,088-855-4731,088-855-4732,780-0051,高知市愛宕町2丁目19-4,月火木金9:00~18:00 水9:00~17:00 土9:00~13:00,有,088-855-4731,
つちばし薬局あたご店,392014,高知県,高知市,33.57103,133.53685,088-823-6006,088-823-6003,780-0051,高知市愛宕町3-12-5,月~金8:45~18:00土8:45~13:00,有,090-1000-0596,
とまと薬局,392014,高知県,高知市,33.565765,133.536942,088-826-1112,088-826-1113,780-0051,高知市愛宕町1丁目4-9,月-金9:00-18:00 土9:00-13:00,有,088-826-1112,
ブル-クロス江ノ口薬局,392014,高知県,高知市,33.568905,133.536804,088-802-3741,088-802-3747,780-0051,高知市愛宕町2-22-2,月火水金8:30-18:30 木8:30-17:00 土8:30-17:30,有,088-802-3741,
カイセイ薬局,392014,高知県,高知市,33.564125,133.541275,088-873-5750,088-873-5668,780-0052,高知市大川筋1-3-50,月~金 9:00~21:00 土 9:00~18:00日祝(輪番制)9:00~18:00,有,090-6820-0842,
サンファ-マシ-はるかぜ薬局,392014,高知県,高知市,33.564896,133.532654,088-855-5582,088-855-5582,780-0052,高知市大川筋2-5-45,月火木金8:30~18:00水8:30~16:30土8:30~17:00,有,090-7579-1572,
ベル薬局,392014,高知県,高知市,33.564701,133.542038,088-820-5160,088-820-5161,780-0052,高知市大川筋1-1-22, 月・木9:00~19:00 火・木・金9:00~18:00  土9:00~13:00,無,088-820-5160(転送),
相生薬局,392014,高知県,高知市,33.564156,133.545059,088-885-2470,088-885-2472,780-0054,高知市相生町3-30,月-金8:30-17:30 土8:30-12:30,無,,
あじさい薬局 北本町店,392014,高知県,高知市,33.565384,133.551422,088-878-1618,088-878-1619,780-0056,高知市北本町4-3-4,月火水金9:00-17:30 木9:00-17:00 土8:30-17:00,有,090-6288-0808,
ドラッグセイムス高知駅前薬局,392014,高知県,高知市,33.567989,133.542694,088-802-8070,088-802-8071,780-0061,高知市栄田町2-4-12,月~金9:00~19:00 土9:00~13:00,有,088-802-8070,
調剤薬局ツルハドラッグ高知比島店,392014,高知県,高知市,33.569828,133.549103,088-821-7280,088-821-7280,780-0066,高知市比島町2-7-5,月~金9:00~13:00、14:00~18:00土9:00~13:00,無,,
高知調剤薬局ひじま店,392014,高知県,高知市,33.572857,133.549728,088-802-2121,088-802-2122,780-0066,高知市比島町4-7-13,月~金9:00~18:00 土9:00~13:00,有,090-5913-9193,
くろしお薬局インタ-店,392014,高知県,高知市,33.569469,133.554779,088-861-5080,088-861-5082,780-0072,高知市杉井流6-28,月・火・木・金9:00~19:00水9:00~13:30土9:00~18:00,無,,
ひまわり薬局,,,,33.559799,133.521576,088-820-5757,088-820-5755,780-0086,高知市西町109,月火木金9:00~18:00 水9:00~18:30 土9:00~15:00,有,090-7362-2301,郵便番号
ペンギン堂薬局,,,,33.559956,133.555801,088-880-1622,088-880-1722,780-0804,高知市日の出町2-20,月-金9:00-18:00 土9:00-13:00,無,,郵便番号
ドラッグセイムス高知宝永薬局,392014,高知県,高知市,33.56152,133.554245,	088-	855-	5277,nan,780-0818,高知市宝永町7-33,月-土 9時-13時 14時-18時,無,,
アルファ薬局 宝永店,392014,高知県,高知市,33.559486,133.552353,088-885-5020,088-885-5121,780-0824,高知市城見町3-18,月~金8:45~17:45 土8:45~12:45,有,088-885-5020,
つちばし薬局はりまや店,392014,高知県,高知市,33.559135,133.543808,088-884-5876,088-884-5879,780-0833,高知市南はりまや町1-17-27,月・火・木・金9:00~19:00土9:00~18:00,有,080-2988-4733,
こころ薬局追手筋店 ,392014,高知県,高知市,33.562714,133.541901,088-824-6105,088-824-6106,780-0842,高知市追手筋1-3-21,月~金9:00~17:30  土9:00~13:00,有,088-824-6105,
あじさい薬局 横浜新町店,392014,高知県,高知市,33.515915,133.536316,088-855-5842,088-855-5843,780-0850,高知市横浜新町4丁目2210,月火水金9:00-18:00木土9:00-13:00,有,090-6288-0808,
とくひろ薬局,392014,高知県,高知市,33.557941,133.527313,088-820-5858,088-820-5859,780-0861,高知市升形3-11徳弘ビル1F,月-土9:30-19:00 日祝日9:30-13:00 第3月13:00-18:00,有,090-4781-5601 088-820-5858,
ますがた薬局,392014,高知県,高知市,33.556931,133.529449,088-822-8100,088-822-8120,780-0861,高知市升形8-1,月~金9:00~18:00土9:00~13:00,無,,
しのはら薬局本町店,392014,高知県,高知市,33.557648,133.538422,088-820-8933,088-820-8935,780-0863,高知市与力町3-29,月-金9:00-18:00 土9:00-13:00,有,090-2828-8933,
イルカ薬局,392014,高知県,高知市,33.558315,133.529312,088-855-7182,088-855-7183,780-0870,高知市本町5-2-9,月-金9:00-18:00 土9:00-14:00,有,088-855-7182,
つちばし薬局本店,392014,高知県,高知市,33.559757,133.539642,088-823-5876,088-871-3775,780-0870,高知市本町1-1-3,月~土9:30~19:00日10:00~18:00,有,090-5710-4151,
アルファ薬局上町店,392014,高知県,高知市,33.556019,133.51709,088-856-6075,088-856-6085,780-0901,高知市上町5-6-21,月~金8:45~17:45 土8:45~12:45,無,,
ユ-ミン薬局,392014,高知県,高知市,33.55801,133.525253,088-875-9251,0120-75-9252,780-0901,高知市上町1-4-20 渡辺ビル1F,月~金9:00~18:00 土9:00~14:00,有,088-875-9251,
玄白堂薬局上町店,392014,高知県,高知市,33.558014,133.525803,088-820-5540,088-820-5810,780-0901,高知市上町1-4-25,月-金8:30-18:00 土8:30-17:00,有,088-820-5540,
上町薬局 ,392014,高知県,高知市,33.557518,133.523849,088-875-8555,088-825-1755,780-0901,高知市上町2-2-12,月・木8:30~17:30火・水・金8:30~18:00 土8:30~12:30,有,080-1993-7019,
アイン薬局 大膳町店,392014,高知県,高知市,33.559715,133.522614,088-820-5654,088-820-5653,780-0926,高知市大膳町40,月~金9:00~18:00 土9:00~15:00,有,088-820-5654,
