施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
まあるい薬局,401323,福岡県,福岡市博多区,33.588604,130.422516,092-409-6266,092-409-6277,8120013,福岡市博多区博多駅東2-5-37 博多ニッコ-ビル203,月・木・金 9:30-18:30 火 9:30-18:00 水 9:30-19:30 土 9:00-13:00,無,,
アイン薬局宮田店,402265,福岡県,宮若市,33.73317,130.673035,0949-32-3022,0949-32-3054,8230003,宮若市本城隠谷1755-4,月・火・水・金9:00-18:00木・土9:00-13:00,有,0949-32-3022,
ほしの薬局大里店,401013,福岡県,北九州市門司区,33.904743,130.94014,093-372-6933,093-372-6933,800-0024,北九州市門司区大里戸ノ上2-4-28,平日:9:00~18:00土曜日:9:00~12:30,無,,
萩ヶ丘調剤薬局,401013,福岡県,北九州市門司区,33.905556,130.940353,093-372-8338,093-372-8338,800-0024,北九州市門司区大里戸ノ上2-3-29,"月~水、金 【9:00-12:30,14:30-17:50】 木、土 【9:00-12:30】 日、祝 【休み】",無,,
株式会社別院通り薬局,401013,福岡県,北九州市門司区,33.897808,130.932922,093-382-6622,093-382-0505,800-0037,北九州市門司区原町別院18-6,月火水木金土の午前は8:00~12:30 月火木金の午後は14:00~18:00 水の午後は14:00~16:00,有,090-9474-2444,
サンキュ-ドラッグ社ノ木薬局,401013,福岡県,北九州市門司区,33.894115,130.928848,093-382-3539,093-382-3921,800-0054,北九州市門司区社ノ木1-16-6,平   日:9:00~19:00 土 曜 日:9:00~19:00 日曜・祝日:9:00~18:00,有,093-382-3539,
さくら薬局門司店,401013,福岡県,北九州市門司区,33.896229,130.92543,093-381-1396,093-381-1395,800-0057,北九州市門司区大里新町3-9,月~土9:00~21:00日・祝9:00~18:00,有,093-381-1396,
メ-プル薬局小倉南店,401072,福岡県,北九州市小倉南区,33.844013,130.945099,093-474-5525,093-474-5530,800-0205,北九州市小倉南区沼南町2-49-11,月・火・木・金 9:00~18:00水・土 9:00~13:00,有,093-474-5525,
薬局ABCファ-マシ-,401072,福岡県,北九州市小倉南区,33.845192,130.944046,093-474-3400,093-474-3401,800-0208,北九州市小倉南区沼本町4-2-23,月~金:9:00~18:00、土:9:00~12:00,有,093-474-3400,
さくら薬局九州労災病院前店,401072,福岡県,北九州市小倉南区,33.838306,130.938965,093-474-9650,093-474-9651,800-0229,北九州市小倉南区曽根北町2-30,平   日:8:30~18:00 土 曜 日:8:30~12:30 ,有,093-474-9650,
株式会社貫薬局,401072,福岡県,北九州市小倉南区,33.814228,130.929245,093-472-1088,093-472-2895,800-0237,北九州市小倉南区中貫1-20-36,平   日:9:00~18:00 土 曜 日:9:00~12:00 ,有,093-472-1088,
株式会社アガペ小倉南薬局,401072,福岡県,北九州市小倉南区,33.84737,130.898804,093-951-8377,093-951-8378,800-0257,北九州市小倉南区湯川1-3-21,月・火・水・金 8:45~17:45木・土 8:45~12:45,有,080-3987-6360,
有限会社TEKあじさい薬局,406210,福岡県,京都郡苅田町,33.767338,130.978485,093-435-2272,093-435-2273,800-0352,京都郡苅田町富久町2-9-22,平   日:9:00~18:00土 曜 日:9:00~16:00(第2第4土曜日は13:00まで),有,080-8586-7790,
レトロ調剤薬局,401013,福岡県,北九州市門司区,33.943874,130.964615,093-322-5222,093-322-5223,801-0834,北九州市門司区本町3-7,月8:30~18:00/火8:30~18:00/水8:00~16:00/木8:30~18:00/金8:30~18:00/土8:30~12:30,無,,
門司港薬局,401013,福岡県,北九州市門司区,33.946552,130.964981,093-322-1221,093-322-1222,801-0852,北九州市門司区港町3-12,平日9:00~13:00、14:00~18:00、木・土曜日9:00~13:00,無,,
堺町調剤薬局,401064,福岡県,北九州市小倉北区,33.882149,130.884872,093-551-5737,093-551-4931,802-0005,北九州市小倉北区堺町2-1-1,平  日:8:00~18:00 土曜日:8:00~13:00 ,有,093-551-5737,
オ-エス砂津薬局,401064,福岡県,北九州市小倉北区,33.882782,130.891144,093-512-8830,093-512-8831,802-0014,北九州市小倉北区砂津2-1-38,月~金:9:00~18:00、土:9:00~13:00,有,093-512-8830,
