施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
タイガ-薬局,412015,佐賀県,佐賀市,33.235126,130.326538,0952-27-3088,0952-27-3089,840-0012, 佐賀市北川副町光法1598-1,月火木金8:30~18:00水8:30~13:00土8:30~13:00 ,有,0952-27-3088,
神代薬局 八田店,412015,佐賀県,佐賀市,33.237434,130.311401,0952-27-9123,0952-24-3110,840-0013,佐賀市北川副町新郷732-1,月~金9:00~18:00土9:00~13:00 ,有,080-8558-2161,
久保薬局木原店,412015,佐賀県,佐賀市,33.242054,130.321808,0952-24-2233,0952-24-4227,840-0015,佐賀市木原2-23-7,月~金8:30~18:00土8:30~17:00,有,0952-24-2233,
溝上薬局 木原店,412015,佐賀県,佐賀市,33.243378,130.315384,0952-37-8638,0952-37-8189,840-0015,佐賀市木原1-24-40,月~金9:00~19:00土9:00~19:00 ,有,080-6592-6977,
神代薬局木原店,412015,佐賀県,佐賀市,33.247494,130.323669,0952-29-5607,0952-29-5697,840-0015,佐賀市木原3-2-15,月~金9:00~18:00土9:00~13:00 ,有,090-5733-3009,
溝上薬局空港通り店,412015,佐賀県,佐賀市,33.238495,130.303894,0952-28-1513,0952-26-1990,840-0023,佐賀市本庄町袋288-1,月~金9:00~19:00土9:00~19:00 ,有,080-6854-2371,
神代薬局末次店,412015,佐賀県,佐賀市,33.235359,130.302383,0952-60-2646,0952-60-2647,840-0024,佐賀市本庄町末次29-22,月~金9:00~18:30土9:00~13:00 ,無,,
溝上薬局本庄佐大南店,412015,佐賀県,佐賀市,33.237034,130.293015,0952-37-8264,0952-37-8264,840-0027,佐賀市本庄町大字本庄270-2,月~金9:00~18:00土9:00~14:00 ,有,080-9344-3156,
神代薬局本庄店,412015,佐賀県,佐賀市,33.243397,130.284073,0952-23-2577,0952-23-2577,840-0027,佐賀市本庄町本庄888-8,月~金9:00~18:00土9:00~13:00 ,有,090-5942-7603,
溝上薬局 下田町店,,,,33.244286,130.276367,0952-24-2276,0952-37-9210,840-0031 ,佐賀市下田町2-20,月~金9:00~18:00土9:00~13:00 ,有,080-6854-4900,郵便番号
久保薬局西与賀店,412015,佐賀県,佐賀市,33.237328,130.27887,0952-22-2311,0952-29-2777,840-0034,佐賀市西与賀町厘外859-16,月~金8:30~18:00土8:30~13:30,有,0952-22-2311,
いけだ薬局西堀端店,412015,佐賀県,佐賀市,33.247765,130.29541,0952-24-0988,0952-24-0988,840-0042,佐賀市赤松町1-9,月火水金8:30~18:00木8:30~13:00 土8:30~13:00,無,,
(有)宇都宮薬局,412015,佐賀県,佐賀市,33.246906,130.308746,0952-22-9335,0952-22-9337,840-0054,佐賀市水ケ江4-2-10,月~金9:00~18:00土9:00~13:00 ,有,0952-22-9335,
溝上薬局本店,412015,佐賀県,佐賀市,33.250675,130.30426,0952-24-2555,0952-24-2513,840-0054,佐賀市水ヶ江1-2-22,月~土9:00~19:00日祝10:00~19:00,有,080-6854-5616,
神代薬局 枳小路店,412015,佐賀県,佐賀市,33.248985,130.307953,0952-28-6665,0952-60-2899,840-0054,佐賀市水ケ江2-9-7,月~金8:30~18:00土9:00~13:00 ,有,090-7479-9614,
とまと薬局,412015,佐賀県,佐賀市,33.308792,130.281387,0952-51-2155,0952-51-2156,840-0201,佐賀市大和町尼寺2533-1,月~金9:00~18:00土9:00~12:30 ,有,0952-51-2155,
ひかり薬局 大和店,412015,佐賀県,佐賀市,33.303963,130.280472,0952-37-0322,0952-37-0323,840-0201,佐賀市大和町尼寺3499-11,月~金9:00~18:00土9:00~13:00 ,有,080-3700-5076,
ひので薬局かすが店,412015,佐賀県,佐賀市,33.31023,130.283859,0952-37-3455,0952-37-3458,840-0201,佐賀市大和町尼寺2568-1,月・火・木・金9:00~18:30水9:00~17:00土9:00~13:30,有,090-7761-1710,
まつばら薬局,412023,佐賀県,唐津市,33.431305,130.001526,0955-77-1294,0955-77-1294,847-0022,唐津市鏡2904-2,月~金9:00~18:00土9:00~13:00,有,0955-77-1294,
株式会社神代薬局大和店,412015,佐賀県,佐賀市,33.307117,130.282928,0952-62-0840,0952-62-6840,840-0201,佐賀市大和町尼寺2641-3,9:00~18:30土9:00~13:00,有,090-5923-1036,
溝上薬局大和国分店,412015,佐賀県,佐賀市,33.31073,130.286652,0952-51-2933,0952-51-2929,840-0201,佐賀市大和町大字尼寺786-1,月・水・木・金9:00~18:00火9:00~19:00土9:00~13:00,有,080-6854-2373,
春風薬局大和店,412015,佐賀県,佐賀市,33.30357,130.277573,0952-62-8700,0952-62-8701,840-0201,佐賀市大和町尼寺3429-1,月~金9:00~18:00土9:00~13:00 ,有,0952-62-8700,
大和漢方水堂薬局,412015,佐賀県,佐賀市,33.299595,130.277588,0952-64-8877,0952-64-8878,840-0201,佐賀市大和町尼寺3042-6,月火水金9:00~18:00木9:00~14:00土9:00~14:00 ,有,080-6854-5966,
ヤマト薬局 立石店,412015,佐賀県,佐賀市,33.308662,130.263702,0952-51-2882,0952-51-2883,840-0211,佐賀市大和町大字東山田2100-5,月~金9:00~18:00土9:00~13:00 ,有,080-8588-7915,
やまぐち薬局 大和川上店,412015,佐賀県,佐賀市,33.31937,130.256561,0952-62-0751,0952-62-0751,840-0214,佐賀市大和町大字川上324-3,月~土9:00~18:00,有,080-1530-3775,
佐賀北薬局富士大和温泉病院前店,412015,佐賀県,佐賀市,33.344547,130.237869,0952-51-0053,0952-51-0054,840-0513,佐賀市富士町下熊川64-1,月~金9:00~18:00土9:00~13:00 ,有,090-1707-8134,
溝上薬局コムボックス佐賀駅前店,412015,佐賀県,佐賀市,33.263905,130.297989,0952-20-0721,0952-20-0724,840-0801,佐賀市駅前中央1-4-17,月~金9:00~21:00土9:00~15:00 ,有,090-9670-9425,
福神調剤薬局佐賀駅前店,412015,佐賀県,佐賀市,33.263622,130.297012,0952-25-8808,0952-25-8807,840-0801,佐賀市駅前中央1-10-37佐賀駅前センタ-ビル6階,月~金9:00~18:00土9:00~13:00 ,有,0952-25-8808,
こうの薬局,412015,佐賀県,佐賀市,33.266815,130.293808,0952-30-4346,0952-30-5266,840-0804,佐賀市神野東3-7-8,月~金9:00~19:00土9:00~17:00,有,090-7470-1599,
すずな薬局神野店,412015,佐賀県,佐賀市,33.265602,130.29451,0952-30-5691,0952-32-3229,840-0804,佐賀市神野東2-5-3,月~木9:00~18:00金9:00~12:00土9:00~13:00,有,080-4286-0611,
神代薬局神野東店,412015,佐賀県,佐賀市,33.267532,130.299255,0952-60-1213,0952-60-1215,840-0804,佐賀市神野東4-3-15,月~金9:00~18:00土9:00~14:00,有,080-2733-4696,
中原薬局 神野店,412015,佐賀県,佐賀市,33.26247,130.294525,0952-26-1221,0952-26-2298,840-0804,佐賀市神野東1-3-30,月~金8:30~18:00土8:30~13:00 ,有,080-3946-4173,
虹の薬局,412015,佐賀県,佐賀市,33.269722,130.299423,0952-32-2077,0952-32-2088,840-0804,佐賀市神野東4-9-21,月・火・水9:00~18:30 木・金9:00~17:00土9:00~13:00,有,0952-32-2077,
伊勢薬局神野店,412015,佐賀県,佐賀市,33.264771,130.284424,0952-31-9567,0952-31-9570,840-0806,佐賀市神園2-7-3,月~金9:00~18:00土9:00~13:00 ,有,090-5934-1969,
タカトリ薬局大財店,412015,佐賀県,佐賀市,33.260765,130.302887,0952-23-4371,0952-20-2260,840-0811,佐賀市大財3-5-12,月~金9:00~18:30土9:00~14:00,有,0952-23-4371,
ハロ-薬局佐賀天神店,412015,佐賀県,佐賀市,33.260231,130.29567,0952-28-1033,0952-28-1033,840-0815,佐賀市天神2-1-25,月~金9:00~18:00土9:00~13:00 ,有,090-8354-3177,
駅前第一薬局,412015,佐賀県,佐賀市,33.261425,130.298553,0952-22-4928,0952-22-4928,840-0816,佐賀市駅南本町6-4 第一生命ビル5階,月~金9:00~18:00土9:00~13:00 ,有,0952-22-4928,
久保薬局中町店,412015,佐賀県,佐賀市,33.254402,130.2957,0952-26-2817,0952-28-0802,840-0826,佐賀市白山1-5-23,月~金9:00~18:00土9:00~14:00,有,0952-26-2817,
溝上薬局 エスプラッツ店,412015,佐賀県,佐賀市,33.255013,130.302048,0952-27-8228,0952-27-8202,840-0826,佐賀市白山2-7-1,月~金9:00~18:00土9:00~18:00 ,無,,
