施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
そうごう薬局郷ノ浦店,422100,長崎県,壱岐市,33.755203,129.701385,0920-47-0835,0920-47-0798,811-5132,壱岐市郷ノ浦町東触813-1,月~金9:00~18:00 土9:00~13:00,有,0920-47-0835,
三井所薬局,422100,長崎県,壱岐市,33.755619,129.699982,0920-48-0555,0920-48-0556,811-5132,壱岐市郷ノ浦町東触1309-2,月~金8:30~18:00土8:30~16:30,有,070-1253-0556,
いきいき調剤薬局,422100,長崎県,壱岐市,33.745556,129.687683,0920-47-4312,0920-47-4344,811-5135,壱岐市郷ノ浦町郷ノ浦57-1,月-金 8:30-18:00 土 8:30-16:30,有,090-5298-4243,
岩永薬局,401315,福岡県,福岡市東区,33.1143,129.868256,0956-85-7885,0956-85-7886,813-0016,東彼杵郡波佐見町志折郷1969-12,月~金8:30~18:30 土8:30~13:00,有,080-3117-5367,緯度経度(不一致)
そうごう薬局いづはら東里店,422096,長崎県,対馬市,34.206017,129.298233,0920-53-5911,0920-53-5912,817-0016,対馬市厳原町東里290-6,月-金9:00-18:00,無,,
そうごう薬局対馬中央店,422096,長崎県,対馬市,34.271004,129.310349,0920-54-6021,0920-54-6022,817-0016,対馬市美津島町鶏知乙1170,月~金9:00~20:00 土日祝9:00~17:00,有,0920-54-6021,
そうごう薬局いづはら田渕店,422096,長崎県,対馬市,34.205147,129.291122,0920-53-5651,0920-53-5652,817-0023,対馬市厳原町田渕792,月~金8:30~17:30 土8:30~12:30,有,0920-53-5651,
さくら薬局対馬店,422096,長崎県,対馬市,34.271004,129.310349,0920-54-2326,0920-54-2327,817-0322,対馬市美津島町鶏知字千馬ヶ原乙330-11,月~金9:00~18:00,有,0920-54-2326,
そうごう薬局対馬広域センタ-店,422096,長崎県,対馬市,35.17704,136.741241,0920-54-4011,092-054-4012,817-0322,津島市美津島町京地乙520-16,月火木9:00~20:00 水金9:00~18:00 土9:00~12:00,有,0920-54-4011,緯度経度(不一致)
ひとつばたご薬局,422096,長崎県,対馬市,34.65379,129.456223,0920-88-9355,0920-88-9366,817-1701,対馬市上対馬町比田勝623-2,月~金 9:00~18:00土・日 9:00~12:00,有,0920-88-9355,
山中薬局,422010,長崎県,長崎市,32.760712,129.887131,095-823-6397,095-823-3137,850-0001,長崎市西山2-9-1,月火水金9;00-18;05木8;00-16;05 土9;00-13;05,有,070-5555-4699,
西山通り薬局,422010,長崎県,長崎市,32.760712,129.887131,095-824-5404,095-824-5304,850-0001,長崎市西山2-10-12,月~金9:00~18:00 土9:00~13:00),有,090-7449-5148,
あおぞら調剤薬局,422010,長崎県,長崎市,32.753582,129.886749,095-825-8478,095-808-0171,850-0003,長崎市片淵1-12-3,月-金9:00-18:00 土9:00-13:00,有,095-825-8478,
