施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
のぞみ薬局,431010,熊本県,熊本市中央区,32.798359,130.695221,096-319-1661,096-319-1662,860-0004,熊本市中央区新町4-4-24,月~木9:00~18:00金9:00~19:00 土9:00~14:00,有,080-3948-1461,
ゆうかり調剤薬局,431010,熊本県,熊本市中央区,32.798939,130.698227,096-288-1371,096-288-1374,860-0004,熊本市中央区新町2-15-16,月~土9:00~18:00日祝:休,無,090-2857-1371,
花みずき薬局,431010,熊本県,熊本市中央区,32.802792,130.697021,096-312-3535,096-312-3536,860-0004,熊本市中央区新町1-8-21,月~金9:00~18:00土9:00~17:00日・祝休み,有,096-312-3535,
十字堂調剤薬局,431010,熊本県,熊本市中央区,32.79969,130.696945,096-359-1460,096-359-1646,860-0004,熊本市中央区新町2-12-37,月火水木金土:8:30-18:00、日祝:休,有,096-359-1460,
ごふく薬局,431010,熊本県,熊本市中央区,32.796661,130.697083,096-322-8844,096-322-6699,860-0035,熊本市中央区呉服町1-30,月・火・木・金9:00~18:00水・土9:00~17:00,有,096-322-8844,
細工町薬局,431010,熊本県,熊本市中央区,32.793713,130.694702,096-326-0533,096-326-8163,860-0041,熊本市中央区細工町4-12-12,月火水木金9:00-18:00土:9:00-13:00第2第4土・日祝:休,有,090-7152-8639,
グリ-ン薬局 春日店,431036,熊本県,熊本市西区,32.784813,130.683243,096-328-3566,096-247-6695,860-0047,熊本市西区春日7-19-6,月火水木金:9:00-18:00、土:9:00-13:00、日祝:休,無,0968-41-5033,
しらゆり薬局,431036,熊本県,熊本市西区,32.792038,130.691162,096-354-0890,096-354-0892,860-0047,熊本市西区春日1-11-18,月火水木金9:00-18:00土9:00-14:00日祝:休,無,096-354-0890,
伸共薬局,431036,熊本県,熊本市西区,32.785061,130.68718,096-324-7882,096-324-7935,860-0052,熊本市西区田崎本町3-20,月火水金:9:00-18:00、木土:9:00-13:00、日祝:休,有,096-324-7882,
みなみ調剤薬局,431036,熊本県,熊本市西区,32.781376,130.681015,096-351-5112,096-351-5113,860-0053,熊本市西区田崎3-602-9,月~金9:00~18:00土9:00~16:00,無,,
