施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
むさし調剤薬局,,,,33.488655,131.724411,0978-68-1317,0978-68-1327,873-0421,大分県国東市武蔵町糸原2545番地6,月~金 8:30~18:00土 8:30~12:30,有,080-5282-7770,郵便番号
西田薬局,442011,大分県,大分市,33.244053,131.585068,097-537-2318,097-537-2543,870-0003,大分市生石2丁目1-3,月~金 8:30~17:30土 8:30-12:30,無,,
王子中町薬局,442011,大分県,大分市,33.243645,131.593384,097-538-0500,097-538-0500,870-0006,大分市王子中町9番39号,月~金 9:00~18:30土 9:00~12:30,有,080-1798-0202,
an調剤薬局,442011,大分県,大分市,33.236324,131.609283,097-534-8931,097-534-8933,870-0021,大分市府内町2-3-30 ヴィ-ナスビル1F,月~金9:00~19:00土8:30~16:30,無,,
サンサン通り薬局,442011,大分県,大分市,33.236286,131.610611,097-574-7829,097-574-7839,870-0021,大分市府内町1-6-11,月-金9:00-18:00 土9:00-13:00,有,090-6090-1513,
はたの薬局府内店,442011,大分県,大分市,33.235092,131.610168,097-532-1252,097-532-1285,870-0021,大分市府内町1-5-1 106号,月木金 9:00-19:00火 9:00-17:30水 9:00-17:00土 9:00-13:00,無,,
永冨調剤薬局府内店,442011,大分県,大分市,33.236324,131.609283,097-540-6636,097-540-6637,870-0021,大分市府内町2-3-30,月~金8:30~18:00土8:30~17:30,無,,
ワタナベ薬局大手町店,442011,大分県,大分市,33.237309,131.61412,097-538-8200,097-538-0058,870-0022,大分市大手町3-3-30,月~金9:00~18:00土9:00~13:00,無,,
ふくら薬局,442011,大分県,大分市,33.235107,131.617477,097-574-6958,097-574-6959,870-0024,大分市錦町1丁目1番1号,月~金 9:00~18:00土 9:00~13:00,有,097-574-6958,
金池薬局,442011,大分県,大分市,33.234188,131.611877,097-533-2247,097-533-2248,870-0026,大分市金池町2-9-10,月火木金 9:00~19:30水 9:00~12:00土 9:00~17:30,有,080-3363-0278090-6090-1513,
にじが丘調剤薬局,442011,大分県,大分市,33.256561,131.683655,097-544-4695,097-544-4694,870-0030,大分市大字三好1911-4,月火水金 8:30~18:00土 8:30~17:00,有,090-8622-2072,
きたじま薬局千代町店,442011,大分県,大分市,33.243324,131.606384,097-578-6227,097-578-6237,870-0033,大分市千代町1丁目2-7,月火水金 9:00~18:00木 9:00~17:00土 9:00~12:30,有,090-5727-7966,
はなぶさ調剤薬局,442011,大分県,大分市,33.235905,131.605576,097-537-0739,097-547-7550,870-0035,大分市中央町2-2-26,月火水金 9:00-18:00木土 9:00-12:30,無,,
ブンゴヤ薬局本店,442011,大分県,大分市,33.236053,131.605789,097-532-2985,097-532-7366,870-0035,大分市中央町2-1-17,月~土 9:00~18:00第2、4、5 日 9:00~13:00,無,,
ワタナベ薬局まいづる店,442011,大分県,大分市,33.239697,131.619095,097-538-8200,097-538-0058,870-0044,大分市舞鶴町1-4-19,月~金 9:00~18:00土 9:00~13:00,有,097-538-8200,
コグマ鶴崎薬局,442011,大分県,大分市,33.240444,131.686264,097-503-6710,097-503-6720,870-0105,大分市西鶴崎3-2-7,月~金 9:00-18:30土 9:00-13:00,有,090-6906-4494,
コスモス調剤薬局,442011,大分県,大分市,33.240517,131.68544,097-503-5858,097-503-5877,870-0105,大分市西鶴崎3丁目3番6号,月~金 9:00~18:00土 9:00~12:30,有,090-6090-1513,
カトレア調剤薬局,442011,大分県,大分市,33.213032,131.68895,097-503-7750,097-503-7755,870-0116,大分市大字常行265-1,月火木金 9:00~18:00水 9:00~17:00土 9:00~12:00,有,090-6090-1513,
ゆう調剤薬局まつおか店,442011,大分県,大分市,33.191616,131.675095,097-528-7552,097-528-7553,870-0124,大分市毛井寺ノ前256-5,月~金 9:00~18:00土 9:00~17:00,有,090-2968-9795,
河野調剤薬局明野店,442011,大分県,大分市,33.207722,131.664017,097-578-8399,097-578-8398,870-0126,大分市大字横尾4451-26,月・火・木・金・土9:00~17:00水9:00~13:00,無,,
コスモス薬局森町バイパス店,442011,大分県,大分市,33.227661,131.68222,097-524-1711,097-524-1712,870-0127,大分市森町526-1,月~土9:30~19:30,無,,
まごころ調剤薬局森町店,442011,大分県,大分市,33.239525,131.609375,097-503-7155,097-529-8480,870-0127,大分市茂里町518-1,月火水金 8:30~17:30木 8:30~17:00土 8:30~12:30,有,097-554-8844,
はたの薬局森店,442011,大分県,大分市,33.216282,131.681198,097-576-7190,097-576-7191,870-0128,大分市大字森402-10,月火水金 9:00~17:30木 9:00~17:00土 9:00~12:30,無,090-9790-5151,
ゆう調剤薬局猪野店,442011,大分県,大分市,33.224842,131.666077,097-522-0665,097-522-0669,870-0134,大分市大字猪野字西原1101-7,月 9:00~18:00火~金 9:00~17:30土 9:00~11:00,有,090-5936-7548,
明野調剤薬局,442011,大分県,大分市,33.225655,131.656189,097-552-2160,097-552-2280,870-0165,大分市明野北4-1-1,月・水・木・金8:30~18:00火8:30~19:00土8:30~14:00,無,,
永冨調剤薬局明野店,442011,大分県,大分市,33.223797,131.6604,097-524-6816,097-524-6817,870-0172,大分市新明治1-4,月~金9:00~18:00土9:00~15:00,無,,
九州調剤薬局大在志村店,442011,大分県,大分市,33.242237,131.707001,097-523-2110,097-523-2102,870-0241,大分市庄境125-1,月~金 9:00-18:00土 9:00-17:00,無,,
まい調剤薬局,442011,大分県,大分市,33.244106,131.723129,097-592-5915,097-592-5915,870-0251,大分市大在中央2-168,月・火・水・金9:00~18:00木8:00~16:00土9:00~15:00,有,080-8355-8792,
永冨調剤薬局大在店,442011,大分県,大分市,33.245174,131.731216,097-524-3832,097-524-3833,870-0253,大分市汐見2丁目1-4,月火木金 9:00-18:00水 9:00-17:00土 9:00-13:00,有,097-524-3832,
アフェット薬局,442011,大分県,大分市,33.249245,131.721237,097-592-5351,097-592-5006,870-0263,大分市横田1丁目13-16,月~金 9:00~18:00土 9:00~13:00,無,097-592-5351,
株式会社国立前調剤薬局,442011,大分県,大分市,33.251686,131.72197,097-593-3120,097-593-3607,870-0263,大分市横田2丁目13-1,月~金 8:30-18:30土 8:30-12:30,有,090-1877-0156,
杉原薬局,442011,大分県,大分市,33.233807,131.751938,097-528-9351,097-528-9352,870-0307,大分市坂ノ市中央3-5-12,月~金9:00~18:00土8:30~12:30,有,080-6463-9959,
永冨調剤薬局だのはる店,442011,大分県,大分市,33.232464,131.591232,097-513-8223,097-513-8224,870-0818,大分市新春日町2-3-12,月火水金 8:30-18:00木 8:30-17:30土 8:30-17:00,有,070-2238-5317,
おおみち薬局,442011,大分県,大分市,33.230461,131.602127,097-514-0001,097-514-0002,870-0823,大分市東大道2-3-45,月火木金 9:00~18:00水 9:00~17:00土 9:00~14:00,有,090-6179-0994,
ブンゴヤ薬局駅南店,442011,大分県,大分市,33.231583,131.603134,097-547-2010,097-547-2020,870-0823,大分市東大道1-8-15,月~金9:00~18:00土9:00~17:00,無,,
きむら薬局上野店,442011,大分県,大分市,33.224659,131.611908,097-545-9305,097-544-8261,870-0835,大分市上野丘1丁目12番18号,月~金 9:00~18:00土 9:00~13:00,有,090-6179-0994,
みさと薬局太平町店,442011,大分県,大分市,33.147827,131.485062,097-578-8525,097-578-8575,870-0837,大分市太平町4組,月~金8:30~18:30土8:30~15:00,なし,,
