施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
さとかん薬局山月店,452033,宮崎県,延岡市,32.600391,131.665421,0982-21-1156,0982-21-1108,8820037,延岡市山月町5丁目5683-45,月~金:8:30~18:00、土8:30~13:00,有,070-4173-5751,
ひだか薬局西一店,452017,宮崎県,宮崎市,31.909267,131.420517,0985-23-3636,0985-23-3656,880-0001,宮崎市橘通西1-5-34,月~土 9:00~18:00,有,070-5019-1298,
あやめ薬局,452017,宮崎県,宮崎市,32.136559,131.482971,0983-32-7070,0983-32-7071,880-0006,児湯郡高鍋町上江 字堂ヶ瀬207?8,月~金8:30~18:00土8:30~12:30,有,090-1920-2691,
はらまち薬局,452017,宮崎県,宮崎市,31.925978,131.423691,0985-31-5039,0985-31-5059,880-0007,宮崎市原町8-21,月~金 8:30~18:00土 8:30~13:00,有,090-6632-6949,
二葉薬局松橋,452017,宮崎県,宮崎市,31.911121,131.415466,0985-75-0633,0985-75-0543,880-0013,宮崎市松橋2-1-23,月~金 9:00~19:00土 9:00~13:00日曜、祝日休み,有,0985-75-0633,
ハロ-薬局清水店,452017,宮崎県,宮崎市,31.917484,131.4216,0985-82-8686,0985-82-8687,880-0021,宮崎市清水1-2-14,月~金9:00~18:00土9:00~12:30,有,0985-82-8686,
トモ薬局和知川原店,452017,宮崎県,宮崎市,31.923607,131.410645,0985-28-1186,0985-31-9514,880-0023,宮崎市和知川原3-71,月・水・金8:30~19:00火・木8:30~16:30土8:30~12:30日・祝休み,有,080-2718-6537,
タカフジ薬局,452017,宮崎県,宮崎市,31.946976,131.416748,0985-28-1256,0985-28-1472,880-0035,宮崎市下北方町目後899,第1・3・5土8:30~13:00 第2・4土8:30~13:30,有,0985-28-1256,
東洋堂薬局,452017,宮崎県,宮崎市,31.9417,131.4263,0985-28-3412,0985-28-3415,880-0035,宮崎市下北方町常盤元1010,月・水・金8:30~18:00火8:30~16:00木8:30~12:30土8:30~12:00日・祝日、8月13~15日、12月29日~1月3日休み,有,080-3971-1667,
ミント薬局,452017,宮崎県,宮崎市,31.95908,131.43721,0985-64-8001,0985-64-8002,880-0036,宮崎市花ヶ島町小無田642-4,月・火・水・金8:30~18:00木8:30~15:30 8:30~14:00,有,090-4777-4366,
