施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
リフレ薬局塩釜店,162051,富山県,氷見市,41.503284,140.271896,022-366-8822,022-366-9669,935-0032,塩釜市白萩町9-2,月・火・木・金:8:30~18:00水:8:30~16:30土:8:30~12:30,有,080-4106-7866,緯度経度(不一致)
エムツ-調剤薬局宮町店,041017,宮城県,仙台市青葉区,38.274681,140.884323,022-281-8595,022-281-8596,980-0004,仙台市青葉区宮町4-5-34Noiesendai宮町102,月火木金:9:00-19:00水:9:00-18:00 土:9:00-13:30,有,022-281-8595,
ひかり薬局宮町,041017,宮城県,仙台市青葉区,38.277081,140.886093,022-275-1547,022-273-1547,980-0004,仙台市青葉区宮町5-7-20,"月~水,金 9:00~19:00木 9:00~18:00 土 9:00~13:00",無,,
アイカ薬局宮町店,041017,宮城県,仙台市青葉区,38.276073,140.887039,022-346-6815,022-346-6817,980-0004,仙台市青葉区宮町5-8-2,月火木金9:00-17:30水9:00-12:30 土9:00-13:30,無,,
ピコス薬局上杉店,041017,宮城県,仙台市青葉区,38.270969,140.870895,022-264-9611,022-264-9601,980-0011,仙台市青葉区上杉1-7-29,月-金 8:30-17:30土 8:30-13:00,有,022-264-9612,
上杉調剤薬局,041017,宮城県,仙台市青葉区,38.270409,140.869781,022-399-6037,022-399-6038,980-0011,仙台市青葉区上杉1-6-10-1階,月-金8:30-18:30 土9:00-13:00,無,,
ひかり薬局北四番丁,041017,宮城県,仙台市青葉区,38.272865,140.868988,022-711-8833,022-711-8841,980-0011,仙台市青葉区上杉2-3-19,月火水金8:30-19:30木8:30-18:00土8:30-13:30,有,022-711-8833,
つばさ薬局上杉店,041017,宮城県,仙台市青葉区,38.271194,140.875977,022-212-1126,022-212-1127,980-0011,仙台市青葉区上杉3-2-28 アクス上杉ビル1F,月曜日 9:00-19:00火曜日-金曜日 9:00-17:00土曜日 9:00-12:30,有,022-212-1126,
すず薬局上杉店,041017,宮城県,仙台市青葉区,38.275417,140.873962,022-797-1945,022-797-1946,980-0011,仙台市青葉区上杉5-8-49 イサワビル1階,月~金 9:00~18:00土 9:00~12:00,無,,
カメイ調剤薬局上杉店 在宅医療支援センタ-,041017,宮城県,仙台市青葉区,38.272831,140.878448,022-265-8215,022-265-8216,980-0011,仙台市青葉区上杉4-4-12,月~金9:00~17:00,有,022-265-8215,
ホ-プ薬局花京院店,041017,宮城県,仙台市青葉区,38.26646,140.881104,022-796-1467,022-796-1468,980-0013,仙台市青葉区花京院2-2-8,月~金:9:00~18:30土:9:00~13:00日祝 休業日,有,022-796-1467(携帯へ転送),
花京院薬局,041017,宮城県,仙台市青葉区,38.267731,140.879623,022-217-0121,022-217-0122,980-0013,仙台市青葉区花京院2-1-18,月-水、金 9:00-18:00土 9:00-16:00,有,090-9031-8932,
けやき薬局510店,041017,宮城県,仙台市青葉区,38.263702,140.873291,022-796-4364,022-796-4366,980-0014,仙台市青葉区本町2-4-8-102,月・火 9:00~19:00水・土 9:00~13:00木・金 8:30~18:00,無,,
エムツ-調剤薬局本町店,041017,宮城県,仙台市青葉区,38.264854,140.873062,022-769-6112,022-769-6113,980-0014,仙台市青葉区本町2-16-1 小西ビル1F,月-金 9:00-19:00 土9:00-13:00,有,022-769-6112,
ヤマザワ調剤薬局中央店,041017,宮城県,仙台市青葉区,38.262329,140.875504,022-261-2811,022-261-2882,980-0021,仙台市青葉区中央2-10-12,月~土9:00~18:00,有,090-6689-6768,
