施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
ウエルシア薬局土浦神立店,082031,茨城県,土浦市,36.121372,140.240219,029-834-7030,029-834-7031,300-0011,土浦市神立中央3-2-27,月~土9:00~19:00※祝日休み,有,029-834-7030,
すみれ調剤薬局,082031,茨城県,土浦市,36.120415,140.22998,029-831-1411,029-831-2010,300-0011,土浦市神立中央5-4-16,月9:00~18:30/火9:00~18:30/水9:00~18:30/木9:00~18:30/金9:00~18:30/土9:00~17:00,無,,
花梨薬局神立店,082031,茨城県,土浦市,36.120323,140.225723,029-832--8776,029-869-8151,300-0011,土浦市神立中央5-25-14,月9:00~18:00/火9:00~18:00/水9:00~18:00/金9:00~18:00/土9:00~18:00,無,,
アイン薬局土浦店,082031,茨城県,土浦市,36.075298,140.256577,029-846-7111,029-846-7112,300-0023,土浦市沖宿町2762-3,月9:00~18:00/火9:00~18:00/水9:00~18:00/木9:00~18:00/金9:00~18:00/土9:00~12:00,有,029-846-7111,
センタ-薬局本店,082031,茨城県,土浦市,36.075298,140.256577,029-893-2621,029-893-2681,300-0023,土浦市沖宿町字八幡前2695-7,月9:00~18:00/火9:00~18:00/水9:00~18:00/木9:00~18:00/金9:00~18:00/土10:00~13:00,有,080-2379-8559,
きだまり薬局,082031,茨城県,土浦市,36.096977,140.217255,029-825-1246,029-821-1058,300-0026,土浦市木田余1641-1,月9:00~19:00/火9:00~19:00/水9:00~19:00/木9:00~18:30/金9:00~19:00/土9:00~14:00/備考:日曜、祝祭日閉局,有,休日夜間対応電話により対応,
おおつ野薬局,082031,茨城県,土浦市,36.087006,140.256256,029-846-3663,029-846-5506,300-0028,土浦市おおつ野2丁目1-5,月9:00~18:00/水9:00~18:00/木9:00~18:00/金9:00~18:00/土9:00~18:00/備考:休業日:火・日・祝日,無,,
日本調剤土浦薬局,082031,茨城県,土浦市,36.083477,140.257141,029-830-3620,029-830-3621,300-0028,土浦市おおつ野5-1-16,月~土9:00~18:00,有,080-1002-1888,
協和調剤薬局おおつ野支局,082031,茨城県,土浦市,36.088203,140.255585,029-898-9914,029-898-9915,300-0028,土浦市おおつ野8-1-11,月8:30~18:00/火8:30~18:00/水8:30~18:00/木8:30~18:00/金8:30~18:00/土8:30~13:00,有,029-898-9914からの転送電話にて対応、相談可,
今川薬局土浦店,082031,茨城県,土浦市,36.083134,140.256836,029-869-6677,029-869-6676,300-0028,土浦市おおつ野5-1-25,月~金9:00~18:00土9:00~13:00,無,,
