施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
あい薬局戸越銀座店,131091,東京都,品川区,35.614895,139.715729,03-5750-3621,03-5750-5180,142-0051,品川区平塚1-7-16 1階,月曜日・金曜日:9:00~20:00 /火曜日~木曜日・土曜日:9:00~18:30 /日曜日:9:00~13:00,有,03-5750-3621,
ファ-コス薬局せがさき,111074,埼玉県,さいたま市浦和区,35.879002,139.665634,048-885-2683,048-885-2687,330-0044,さいたま市浦和区瀬ケ崎3-9-8,月~木・土9:00~18:00金・日・休み,無,,
わかば薬局浦和駅東口店,111074,埼玉県,さいたま市浦和区,35.857754,139.659393,488838455,488838456,330-0055,さいたま市浦和区東高砂町14-18前島ビル1階,月~土9:00~19:00、日・祝休み,有,080-3599-2908,
ふたば調剤薬局浦和店,111074,埼玉県,さいたま市浦和区,35.858147,139.661484,048-764-8383,048-764-8825,330-0055,さいたま市浦和区東高砂町17-7,月~金9:00~18:00土9:00~13:00,無,,
ドラッグセイムス浦和駅東口薬局,111074,埼玉県,さいたま市浦和区,35.857727,139.658783,048-813-1670,048-813-1671,330-0055,さいたま市浦和区東高砂町9-1-5SUMIDA ONE1F,月-土 8:30-21:00 日、祝:9:00-20:00,有,070-4031-4701,
雄飛堂薬局東仲町店,111074,埼玉県,さいたま市浦和区,35.862453,139.656265,487649771,487649772,330-0056,さいたま市浦和区東仲町4-8,月曜日-金曜日 8:30-18:00 土曜日 8:30-13:00,無,08084223007,
サンワ薬局,,,,35.859936,139.66066,048-883-1333,048-883-3161,330-0056 , さいたま市浦和区東仲町30-20,月~金9:00~18:30土9:00~17:30 ,有,070-6452-4615,郵便番号
ほんだ薬局,111074,埼玉県,さいたま市浦和区,35.863663,139.652222,048-825-1880,048-825-1880,330-0061,さいたま市浦和区常盤2-9-6,9:00~19:00,無,,
ファルマプリベ薬局,111074,埼玉県,さいたま市浦和区,35.871162,139.645767,048-822-4955,048-822-5050,330-0061,さいたま市浦和区常盤9-19-12ライフステ-ジ北浦和駅前1階,月・火・木・金9:00~19:00水9:00~17:00土9:00~13:00,有,048-822-4955(転送対応),
そうごう薬局常盤店,111074,埼玉県,さいたま市浦和区,35.871773,139.642029,048-827-1331,048-827-1332,330-0061,さいたま市浦和区常盤10-10-18,月9:00~18:00/火9:00~18:00/水9:00~18:00/木9:00~18:00/金9:00~18:00/土9:00~18:00/備考:祝日休み,有,048-827-1331,
そうごう薬局浦和店,111074,埼玉県,さいたま市浦和区,35.866581,139.64621,488235731,488235732,330-0061,さいたま市浦和区常盤9-4-4,月水金土 9:00~19:00 火木 9:00~17:00 日祝 休み,有,488235731,
そうごう薬局ふれあい通り店,111074,埼玉県,さいたま市浦和区,35.871704,139.642883,048-832-4861,048-832-4761,330-0061,さいたま市浦和区常盤9-32-20,月~金9:00~19:00 土日祝9:00~18:00,無,,
