施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
たむら調剤薬局,312010,鳥取県,鳥取市,35.509033,134.231689,0857-27-1861,0857-27-1881,680-0007,鳥取市湯所町2-181,月~金8:30~18:10            土8:30~16:00,有,0857-27-1861,
湯所薬局,312010,鳥取県,鳥取市,35.510376,134.230408,0857-22-5315,0857-22-5305,680-0007,鳥取市湯所町2-324,月~水・金9:00~18:30          木・土9:00~16:00,無,,
徳吉薬局日赤前,312010,鳥取県,鳥取市,35.501461,134.235672,0857-51-1822,0857-51-0380,680-0017,鳥取市尚徳町114-6,月~日8:30~19:00,有,0857-51-1822,
常田調剤薬局,312010,鳥取県,鳥取市,35.505028,134.234528,0857-27-7164,0857-21-9675,680-0022,鳥取市西町3-110-2,月・火・木・金8:30~18:00水8:30~16:30土8:30~12:30,有,0857-27-7164,
常田薬局,312010,鳥取県,鳥取市,35.502247,134.234528,0857-22-4792,0857-21-9215,680-0022,鳥取市西町2-102-1,月~金8:30~18:00土8:30~11:30,有,080-1972-5443,
有限会社大村薬局,312010,鳥取県,鳥取市,35.503048,134.231339,0857-21-1193,0857-29-4193,680-0023,鳥取市片原3-201,月~金8:30~18:30                   土8:30~17:30,有,0857-21-1193,
かわばた薬局,312010,鳥取県,鳥取市,35.502052,134.226807,0857-21-1056,0857-21-1088,680-0036,鳥取市川端5-205,月・火・木・金8:30~18:00        水8:00~16:00                          土8:30~13:00,有,0857-21-1056,
ドラッグストアエ-ス鳥取おうちだに薬局,312010,鳥取県,鳥取市,35.498646,134.238495,0857-22-8556,0857-22-8602,680-0043,鳥取市大榎町17,月~土9:00~18:00,有,070-7044-6175,
アイ・プラス薬局上魚町店,312010,鳥取県,鳥取市,35.500481,134.235214,0857-25-1500,0857-25-1501,680-0047,鳥取市上魚町14-5,月~水・金・土9:00~18:30,有,0857-25-1500,
アイ・プラス薬局 卯垣店,312010,鳥取県,鳥取市,35.487934,134.253845,0857-38-2270,0857-38-2271,680-0074,鳥取市卯垣4-101-1,月~水・金8:30~18:30            木8:30~16:30                  土8:30~12:30,有,0857-38-2270,
アイ・プラス薬局 岩倉店,312010,鳥取県,鳥取市,35.484604,134.257217,0857-32-8992,0857-32-8993,680-0081,鳥取市岩倉452-18 ロッジ452 1号室,月~水・金9:00~18:00                     木・土9:00~13:00,有,0857-32-8992,
つくし薬局,312010,鳥取県,鳥取市,35.485195,134.257446,0857-25-3588,0857-25-3589,680-0081,鳥取市岩倉446-29,月・火・水・金 8:30~18:30                    木・土 8:30~13:00,有,0857-25-3588,
うさぎ薬局,312010,鳥取県,鳥取市,35.465935,134.301697,0857-26-6315,0857-26-6316,680-0136,鳥取市国府町糸谷8-3,月~水・金9:00~18:00                  木9:00~17:00                          土9:00~12:30,有,0857-26-6315,
もみじ薬局,312010,鳥取県,鳥取市,35.481846,134.270325,0857-36-8014,0857-36-8015,680-0151,鳥取市国府町宮下1165-3,月・火・木・金9:00~18:30 水9:00~12:30土9:00~17:00,有,0857-36-8014,
にしむら薬局郡家店,313297,鳥取県,八頭郡八頭町,35.417866,134.257828,0858-72-1230,0858-72-1357,680-0427,八頭郡八頭町奥谷135-4,月~金8:30~18:30                         土8:30~12:30,有,0858-72-0432,
アイプラス薬局郡家店,313297,鳥取県,八頭郡八頭町,35.412556,134.236191,0858-71-0760,0858-71-0761,680-0452,八頭郡八頭町池田205-1,月・火・木・金9:00~18:30                 水9:00~13:00                         土9:00~16:00,有,080-3275-2928,
わかさ薬局,313254,鳥取県,八頭郡若桜町,35.34119,134.401749,0858-82-0253,0858-82-0789,680-0701,八頭郡若桜町若桜926-13,月~水・金8:30~18:30                   木8:30~18:00                          土8:30~13:00,有,0858-82-0253,
徳吉薬局松並店,312010,鳥取県,鳥取市,35.517612,134.219559,0857-29-6348,0857-29-6349,680-0801,鳥取市松並町2-503-7,月~金8:30~18:30                       土8:30~17:00,有,0857-29-6348,
徳吉薬局でんえんちょう,312010,鳥取県,鳥取市,35.511238,134.224823,0857-30-5125,0857-30-5124,680-0803,鳥取市田園町1-242-1,月・火・水・金 8:30~18:30木 8:30~16:30土 8:30~13:00,有,0857-30-5125,
池田薬局,312010,鳥取県,鳥取市,35.497883,134.225601,0857-23-1251,0857-22-1155,680-0822,鳥取市今町1-323,月・火・水・金8:30~18:00                    木・土8:30~12:30,無,,
あみはま薬局,312010,鳥取県,鳥取市,35.49675,134.226303,	0857-	23-	3351,	0857-	23-	3075,680-0822,鳥取市今町1-101,月、火、水、金→9:00-18:30木      →9:00-17:00土      →9:00-15:00 日曜、祝日  定休日,無,,
有限会社徳吉薬局市役所前,312010,鳥取県,鳥取市,35.495392,134.21933,0857-30-5963,0857-30-5771,680-0823,鳥取市幸町95-2,月・火・水・金8:30~18:30                    木8:30~16:30                        土8:30~13:00,有,0857-30-5963,
フジモト薬局,312010,鳥取県,鳥取市,35.500172,134.221207,0857-36-0232,0857-36-0233,680-0824,鳥取市行徳2-647,月・火・水・金9:00~18:30                   木9:00~17:00                           土9:00~14:00,無,,
徳吉薬局さかえまち,312010,鳥取県,鳥取市,35.497974,134.22937,0857-30-5380,0857-30-5381,680-0831,鳥取市栄町210,月・火・木・金8:30~18:30                  水8:30~17:00                       土8:30~17:30,無,,
ひまわり薬局,312010,鳥取県,鳥取市,35.494041,134.232941,0857-21-9691,0857-21-9690,680-0833,鳥取市末広温泉町574,月~金8:30~19:00                   土8:30~17:00,有,0857-21-9693,
はなまる薬局,312010,鳥取県,鳥取市,35.487194,134.24118,0857-30-5120,0857-30-5122,680-0843,鳥取市南吉方3-514-3,月~金9:00~18:30                  土9:00~18:00,有,090-9275-2396,
杏林堂薬局,312010,鳥取県,鳥取市,35.486866,134.232513,0857-21-1750,0857-21-1751,680-0844,鳥取市興南町78,月・火・水・金 8:30~18:15木 8:15~16:15土 8:30~17:00,有,0857-21-1750,
ドラッグストアエ-ス興南町薬局,312010,鳥取県,鳥取市,35.488167,134.231613,0857-50-0281,0857-32-9662,680-0844,鳥取市興南町39-2,月・火・水・金9:00~19:00                     木・土9:00~18:00,無,,
アイ・プラス薬局 吉成店,312010,鳥取県,鳥取市,35.488037,134.221085,0857-30-6825,0857-30-6826,680-0845,鳥取市富安332-5,日9:00~15:00                 火9:00~20:00                     月・水・木9:00~18:00,無,,
みなみ薬局,312010,鳥取県,鳥取市,35.489437,134.22702,0857-27-3730,0857-27-3732,680-0845,鳥取市富安1-76,月・火・木・金8:30~18:30                    水8:30~16:30                      土8:30~17:30,有,0857-27-3730,
アイン薬局鳥取扇町店,312010,鳥取県,鳥取市,35.492851,134.224609,0857-30-1301,0857-30-1381,680-0846,鳥取市扇町123-2,月~金9:00~18:30              土9:00~17:00,有,0857-30-1301,
(有)湯所薬品 ゆたに薬局,312010,鳥取県,鳥取市,35.48106,134.227737,0857-21-1568,0857-21-9788,680-0864,鳥取市吉成206-1,月~水・金8:30~19:00                 木8:30~16:30                           土8:30~17:00,有,0857-21-1568,
みやなが薬局,312010,鳥取県,鳥取市,35.476364,134.22551,0857-50-1120,0857-50-1121,680-0872,鳥取市宮長13-7,月~水・金 8:30~18:45木 8:30~16:30土 8:30~14:00,有,080-2879-0994,
イヌイ薬局宮長店,312010,鳥取県,鳥取市,35.477993,134.219238,0857-53-5805,0857-53-5818,680-0872,鳥取市宮長276-2,月~日(祝)9:00~20:30,無,,
日本調剤 的場薬局,312010,鳥取県,鳥取市,35.474777,134.232498,0857-51-7731,0857-51-7713,680-0873,鳥取市的場2-40,月~金8:30~17:30,有,090-6793-0747,
ウェルネス薬局叶店,312010,鳥取県,鳥取市,35.47443,134.217697,0857-30-7205,0857-30-7206,680-0874,鳥取市叶330-1,9:00~13:30、14:30~18:00,無,,
アイ・プラス薬局叶店,312010,鳥取県,鳥取市,35.473831,134.21962,0857-51-7511,0857-51-7521,680-0874,鳥取市叶289-2,月~水・金8:30~18:30                   木8:30~16:30                        土8:30~12:30,有,0857-51-7511,
はまさか薬局,312010,鳥取県,鳥取市,35.526276,134.215179,0857-30-2345,0857-30-2228,680-0901,鳥取市江津408-8,月~金8:30~18:30                           土8:30~12:30,有,0857-30-2345,
徳吉薬局 とうぶ,312010,鳥取県,鳥取市,35.522282,134.215454,0857-21-3360,0857-21-3380,680-0902,鳥取市秋里723-4,月~金8:30~18:30                土9:00~12:00,有,0857-21-3360,
アイプラス薬局南隈店,312010,鳥取県,鳥取市,35.520374,134.200882,0857-30-5270,0857-30-5271,680-0903,鳥取市南隈163-3,月~水・金9:00~18:00               木9:00~17:00                   土9:00~16:00,有,0857-30-5270,
イオン薬局鳥取北店,312010,鳥取県,鳥取市,35.523964,134.201614,0857-38-3305,0857-38-3725,680-0904,鳥取市晩稲348,9:00~21:00(年中無休),無,,
たむら薬局鳥取北店,312010,鳥取県,鳥取市,35.52618,134.202316,0857-32-9550,0857-32-9551,680-0904,鳥取市晩稲437-4,月・火・木・金9:00~18:30                  水9:00~17:00                          土9:00~13:00,有,0857-32-9550,
アイ·プラス薬局安長店,312010,鳥取県,鳥取市,35.510471,134.204758,0857-30-5705,0857-30-5706,680-0913,鳥取市安長257-3,火~土9:00~18:00,有,0857-30-5705,
ドラッグストアエ-スス-パ-モ-ル鳥取店,312010,鳥取県,鳥取市,35.496223,134.208298,0857-39-8710,0857-39-8711,680-0921,鳥取市古海590-1,月~金9:00~20:00                     土9:00~18:00                 日・祝9:00~16:00,無,,
みずたま薬局,312010,鳥取県,鳥取市,35.502026,134.19313,0857-30-6211,0857-30-6212,680-0935,鳥取市里仁56-7,月~金8:30~18:00                  土8:30~16:00,有,090-5380-5565,
よつば薬局,312010,鳥取県,鳥取市,35.50227,134.189636,0857-30-3300,0857-30-3301,680-0935,鳥取市里仁53-7,月~金8:30~19:00                    土8:30~18:00,有,090-7704-7823,
アイン薬局湖山店,312010,鳥取県,鳥取市,35.520939,134.173859,0857-37-3488,0857-37-3688,680-0941,鳥取市湖山町北2-557,月~金8:30~18:30土9:00~12:00,有,0857-37-3488,
徳吉薬局こやま,312010,鳥取県,鳥取市,35.518776,134.185822,0857-306208,0857-30-6209,680-0942,鳥取市湖山町東2-140-2,月~金8:30~18:30                     土8:30~17:30,有,0857-30-6208,
