施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
のの薬局,372013,香川県,高松市,34.348518,134.02681,087-863-6370,087-863-6371,760-0002,高松市茜町2-12,月-金9:00-18:00 土9:00-13:00,有,090-5273-3647,
八幡前のの薬局,372013,香川県,高松市,34.336971,134.036575,087-862-3003,087-862-6655,760-0005,高松市宮脇町1-31-10,月-金9:00-13:00 14:00-18:00 木土9:00-13:00,有,090-5273-3647,
コスモ調剤薬局八幡通り店,372013,香川県,高松市,34.336746,134.039124,087-813-4564,087-813-4448,760-0006,高松市亀岡町11-15,月~水9:00~18:00 木9:00~17:00 土9:00~13:00,有,087-813-4564,
辻上薬局高松店,372013,香川県,高松市,34.33725,134.046555,087-835-0799,087-835-0706,760-0007,高松市中央町1-26,月~土8:30~18:00,有,087-835-0799,
大学通りのの薬局,372013,香川県,高松市,34.345802,134.039246,087-802-1741,087-802-1742,760-0013,高松市扇町1-24-8,月火水金9:00~18:00   木土9:00~13:00,有,090-7621-8793,
アイン薬局高松日赤前店,372013,香川県,高松市,34.340881,134.045441,087-837-0770,087-837-0771,760-0017,高松市番町1丁目10-17-1F,月~金9:00~18:00 土14:00~16:00,有,087-837-0770,
そうごう薬局番町店,372013,香川県,高松市,34.344292,134.044922,087-821-1381,087-821-1382,760-0017,高松市番町2丁目2-26,月火木金9:00~18:00  水9:00~13:00,有,087-821-1381,
たんぽぽ薬局高松日赤前店,372013,香川県,高松市,34.341331,134.042953,087-837-7811,087837-7812,760-0017,高松市番町3-13-10,月~金8:30~18:00 土8:00~10:00,有,087-837-7811,
安西番町薬局,372013,香川県,高松市,34.344627,134.047012,087-811-1520,087-811-1521,760-0017,高松市番町1-2-23-1F,月~金9:00~18:00土9:00~13:00,有,転送,
香川県薬剤師会営薬局県庁北,372013,香川県,高松市,34.341518,134.042236,087-832-7805,087-833-2132,760-0017,高松市番町3-14-8,月~金8:30~18:00土8:30~12:30,有,080-8639-9300,
日本調剤高松薬局,372013,香川県,高松市,34.340813,134.044693,087-802-5661,087-802-5662,760-0017,高松市番町1-10-28,月~金9:00~18:00土9:00~13:00,有,090-1456-3588,
