施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
千年薬局,462012,鹿児島県,鹿児島市,31.639868,130.523987,099-295-3621,099-295-3651,890-0001,鹿児島市千年2-11-13,月~金9:00~17:30 土・日・祝9:00~12:30第1・3・5日曜日閉局12/31~1/2閉局,有,099-295-3621,
今村薬局,462012,鹿児島県,鹿児島市,31.640781,130.532761,099-220-2655,099-218-5155,890-0002,鹿児島市西伊敷4-16-1,月~金8:30~18:00 土8:30~12:30,有,099-220-2655,
オレンジ玉里薬局,462012,鹿児島県,鹿児島市,31.613859,130.537247,099-294-9335,099-294-9336,890-0005,鹿児島市下伊敷1-24-13,月~金9:00~18:00土9:00~17:30,無,,
かごしま北マリンバ薬局,462012,鹿児島県,鹿児島市,31.61655,130.529922,099-290-9324,099-298-9325,890-0005,鹿児島市下伊敷3-1-3,月~土9:00~19:00日・祝日閉局,有,099-290-9324,
クロ-バ-薬局,462012,鹿児島県,鹿児島市,31.613859,130.537247,099-813-7633,099-813-7631,890-0005,鹿児島市下伊敷1-24-6,月~土9:00~18:00,有,099-813-7633,
コスモス薬局,462012,鹿児島県,鹿児島市,31.608902,130.534821,099-224-4810,099-224-4813,890-0005,鹿児島市下伊敷1-1-11,月~土9:00~18:00,無,,
タバタ薬局,462012,鹿児島県,鹿児島市,31.612543,130.532181,099-220-1433,099-220-9897,890-0005,鹿児島市下伊敷1-43-5,月~金9:00~19:00土9:00~18:00,有,099-220-1433,
なでしこ玉里薬局,462012,鹿児島県,鹿児島市,31.609358,130.535706,099-248-7900,099-248-7908,890-0005,鹿児島市下伊敷1-8-19,月-金9:00-18:15土9:-13:15,有,080-1715-6884,
やまもと薬局伊敷台店,462012,鹿児島県,鹿児島市,31.624176,130.533646,099-218-0511,099-218-0533,890-0007,鹿児島市伊敷台2-6-26,月~水・金8:30~18:30 木8:30~12:30土8:30~16:00,有,099-218-0511,
有限会社伊敷調剤薬局,462012,鹿児島県,鹿児島市,31.617016,130.52861,099-229-1227,099-229-5041,890-0008,鹿児島市伊敷2-1-12,月~金9:00~19:00土9:00~17:00,有,080-1701-1716,
たまざと調剤薬局,462012,鹿児島県,鹿児島市,31.606541,130.538208,099-225-6145,099-222-9300,890-0014,鹿児島市草牟田2-28-10,月~金9:00~17:15土9:00~13:00,有,080-8576-6749,
ねんりん薬局,462012,鹿児島県,鹿児島市,31.606501,130.538345,099-295-4768,099-295-4769,890-0014,鹿児島市草牟田2丁目27-10,月・火・木・金8:15~17:30 水8:15~16:15 土8:15~12:00,有,090-3586-5692,
もみじ薬局,462012,鹿児島県,鹿児島市,31.604652,130.539078,099-222-4408,099-293-1400,890-0014,鹿児島市草牟田2-13-19,月~金9:00~18:30 土9:00~13:30,有,090-9494-4408,
アイリス薬局,462012,鹿児島県,鹿児島市,31.60821,130.53595,099-295-6921,099-295-6922,890-0015,鹿児島市草牟田町3-13,月~金9:00~18:00土9:00~13:00,有,099-259-6921,
べっぷ薬局アリ-ナ前,462012,鹿児島県,鹿児島市,31.600117,130.534195,099-202-0057,099-202-0577,890-0023,鹿児島市永吉1-11-10,月~金9:00~18:00土9:00~13:00,有,099-202-0057(転送),
かみぞの薬局明和店,462012,鹿児島県,鹿児島市,31.602673,130.521973,099-281-2200,099-281-2006,890-0024,鹿児島市明和1-26-5,月~金9:00~18:30土9:00~13:00,有,099-296-2038,
株式会社NKCピュアタウン薬局,462012,鹿児島県,鹿児島市,31.586283,130.526749,099-230-0306,099-230-0309,890-0031,鹿児島市武岡1-121-15,月~土8:30~17:30,無,,
武岡調剤薬局,462012,鹿児島県,鹿児島市,31.59214,130.515686,099-806-8300,099-806-8301,890-0031,鹿児島市武岡2-28-2,月8:30-18:00,有,099-806-8300,
スタ-調剤薬局田上店,462012,鹿児島県,鹿児島市,31.574549,130.531937,099-204-7014,099-204-7015,890-0034,鹿児島市田上2-28-3,月・火・木・金9:00~18:00 水9:00~17:00土 9:00~13:00,有,099-204-7014,
石井薬局株式会社,462012,鹿児島県,鹿児島市,31.574232,130.53447,099-252-5068,099-252-5057,890-0034,鹿児島市田上2-15-10,月・火・水・金8:30~20:30木8:30~13:30、17:30~20:30土8:30~18:30,有,090-6638-8799,
木の葉薬局,462012,鹿児島県,鹿児島市,31.575054,130.528229,099-250-8200,099-250-8201,890-0034,鹿児島市田上3-12-8,月~金9:00~18:00土9:00~17:00,有,080-9142-8381,
あすなろ薬局,462012,鹿児島県,鹿児島市,31.593573,130.537033,099-255-4976,099-255-4758,890-0042,鹿児島市薬師2-16-7,月・火・水・金9:00~18:00木9:00~17:00土9:00~16:00,有,099-255-4976,
すずな調剤薬局,462012,鹿児島県,鹿児島市,31.590443,130.53537,099-230-0205,099-230-0207,890-0042,鹿児島市薬師2-27-8,月~金9:00~18:00土9:00~13:00,有,099-230-0205,
ヘルシ-ウェル薬局薬師店,462012,鹿児島県,鹿児島市,31.592962,130.535965,099-258-8045,099-258-8046,890-0042,鹿児島市薬師2-18-19,月~金9:00~18:30土9:00~13:30,有,099-258-8045(転送),
ホワイト薬局,462012,鹿児島県,鹿児島市,31.590958,130.541382,099-206-2223,099-206-2223,890-0042,鹿児島市薬師1-12-8,月-金9:00-18:00 土9:00-13:00,無,,
オレンジ薬局,462012,鹿児島県,鹿児島市,31.584396,130.536453,099-214-3421,099-254-1886,890-0045,鹿児島市武2-34-2,月-金 8:30-18:00  土8:30-17:30,有,090-8352-0767,
そうごう薬局鹿児島中央駅西口店,462012,鹿児島県,鹿児島市,31.583334,130.541061,099-201-7131,099-201-7132,890-0045,鹿児島市武一丁目2-10JR九州ビル2階,月-金8:30-18:00 土8:30-16:00 日10:00-13:00,有,099-201-7131,
たけまち薬局,462012,鹿児島県,鹿児島市,31.577312,130.53569,099-299-0056,099-299-0057,890-0045,鹿児島市武3-22-2,月~水・金9:00~18:00木9:00~17:00土9:00~12:30,無,,
