施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
くくる薬局,472018,沖縄県,那覇市,26.233751,127.695374,098-943-7500,098-943-7501,900-0003,那覇市安謝1-10-30,月・火・木・金9:00~19:00水・土9:00~17:00,無,,
共創未来天久薬局,472018,沖縄県,那覇市,26.23226,127.683647,098-860-7881,098-860-7882,900-0005,那覇市天久910,月~金・祝9:00~19:00土9:00~14:00                  ,無,,
ドラッグイレブン薬局新都心おもろまち店,472018,沖縄県,那覇市,26.230146,127.694031,098-860-3335,098-860-3337,900-0006,那覇市おもろまち3-5-22,月~土9:00~18:00,有,080-2777-0243,
とまり薬局,472018,沖縄県,那覇市,26.221588,127.689789,098-866-1786,098-866-1786,900-0012,那覇市泊1-11-7 ,月~金9:00~18:00土9:00~13:30,無,,
ミント薬局,472018,沖縄県,那覇市,26.218973,127.685905,098-862-8887,098-862-8967,900-0013,那覇市牧志2-17-17,月・火・木・金・土9:00~18:00,無,,
沖映通り薬局,472018,沖縄県,那覇市,26.218016,127.687126,098-861-7912,098-861-9790,900-0013,那覇市牧志2-17-1 ,月火水金8:30~18:00木9:00~18:00土8:30~12:30,無,,
まつお虹薬局,472018,沖縄県,那覇市,26.211218,127.68689,098-869-1234,098-869-1267,900-0014,那覇市松尾2-17-30 宇地原ビル1F,月火木金9:00~17:30水9:00~17:00土9:00~13:00,無,,
ぴぃぷる薬局与儀店,472018,沖縄県,那覇市,26.212296,127.679214,098-831-4954,098-831-7523,900-0022,那覇市桶川1-18-40,月~水・金9:00~18:00水9:00~17:00土9:00~13:00日・祝休み,有,080-1798-4954,
こくら虹薬局,472018,沖縄県,那覇市,26.196299,127.689484,098-835-9280,098-835-9281,900-0024,那覇市古波蔵4-10-53 ,月~金9:00~21:00土9:00~17:00,有,098-835-9280,
そうごう薬局 壺川店,472018,沖縄県,那覇市,26.204334,127.682259,098-833-1311,098-833-1312,900-0025,那覇市壺川1-13-7,月・火・水・金9:00~18:00木・土9:00~16:00,有,098-833-1311,
薬志堂薬局小禄店,472018,沖縄県,那覇市,26.193291,127.676163,098-859-1245,098-859-1244,901-0152,那覇市小禄556-1 ,月~金9:00~18:00土9:00~13:00,無,,
和ごころ薬局さつき店,472018,沖縄県,那覇市,26.18873,127.664993,098-857-6111,098-857-6767,901-0153,那覇市宇栄原3-14-12,月~土9:00~18:00,無,,
オリ-ブ薬局小禄店,472018,沖縄県,那覇市,26.197676,127.669128,098-996-2255,098-996-1584,901-0156,那覇市田原3-1-12 第2丸元ビル101,月~水・金9:00~19:30木9:00~15:00土9:00~18:00,有,090-9912-1393,
いちご薬局真玉橋店,472123,沖縄県,豊見城市,26.190763,127.689873,098-996-3115,098-996-3116,901-0201,豊見城市真玉橋285-1 -1F,9:00~18:00日・祝休み,無,,
そうごう薬局 豊見城店,472123,沖縄県,豊見城市,26.16646,127.696617,098-891-7771,098-891-7772,901-0213,豊見城市高嶺395-103,月~水・金8:30~17:30木8:30~16:30土8:30~12:30,応相談,098-891-7771,
ミルク薬局 豊見城店,472123,沖縄県,豊見城市,26.184414,127.676247,098-852-2666,098-852-2667,901-0241,豊見城市豊見城293-2,月~水・金9:00~12:00木9:00~17:00土9:00~18:00,有,070-1738-0729,
会営薬局とよみ,472123,沖縄県,豊見城市,26.176241,127.675667,098-856-4160,098-856-6026,901-0244,豊見城市宜保271-1 ,月~金8:30~18:30土8:30~13:00,無,,
あはごん薬局,472107,沖縄県,糸満市,26.153131,127.674683,098-995-1256,098-995-6036,901-0301,糸満市阿波根1552-5,月~金9:00~18:00土9:00~17:00,無,,
